bgg_id,name,year,kennerspiel_score
1243,Split Second,1992,1.371863377266582e-22
211,Times to Remember,1992,5.801986862631982e-16
11085,Packen Wir's!,1992,2.308971503735246e-14
317,The Mob,1993,2.3408509680120765e-06
249,Lifeboats,1993,0.8716244511344408
459,Ausgebremst,1993,1.2194670492262805e-13
354,Stick 'Em,1993,3.417107321313337e-07
1702,Klondike,1993,2.6691171018244617e-20
1912,World Cup Tournament Football,1993,7.565149891680628e-05
169,En Garde,1993,2.485864904881602e-09
29,Terrain Vague,1993,1.0
1234,Once Upon a Time: The Storytelling Card Game,1993,9.161122680986521e-18
1448,Freight Train,1993,0.9999999999989386
1419,Pylos,1993,1.328155948834428e-12
3973,Footmania,1993,3.845062247186622e-06
1007,Die Hanse,1993,0.27767350773293725
3337,Double Down,1993,2.4385058486914176e-13
39089,Tiku,1993,1.6953193063553805e-09
1544,Beyond Balderdash,1993,6.705256987668954e-13
465,Zankapfel,1993,6.319894184662311e-06
332,Vernissage,1993,0.9999999999999998
17915,Weniger ist Mehr,1993,0.43760924769137266
1053,Orbit,1993,0.7317195153387446
3293,König Artus Tafelrunde,1993,1.5695067215705492e-09
2626,Das Phantom,1993,7.399706739767402e-20
14032,Finders Keepers!,1993,5.87440382373019e-27
3100,Backpacks and Blisters,1993,2.995823620550194e-13
14010,Nonsense Classic,1993,2.8825297501873226e-08
18,RoboRally,1994,0.9999997725576737
313,Big Boss,1994,0.7828372923749402
1459,Sharp Shooters,1994,9.441824766952468e-13
109,Wettstreit der Baumeister,1994,0.9746651205556555
8897,Kennen Sie Traxenbichl ?,1994,1.2034435751390112e-07
119,Kingdoms,1994,8.256685706943935e-08
398,Wildlife Safari,1994,1.3139575985324065e-13
2095,Waldmeister,1994,0.3552732456090518
4855,Crazy Race,1994,1.0187488231963544e-10
13094,Category Game,1994,1.6708505284190513e-13
261,Olympia 2000 (v. Chr.),1994,7.206658837899916e-06
964,Kapitän Wackelpudding,1994,1.604290352245839e-17
2200,Falsche FuFFziger,1994,0.999990360268629
993,An den Ufern des Nils,1994,0.9999993774780797
137,Pass the Bomb,1994,5.007309081001003e-09
280,Neue Spiele im alten Rom,1994,0.999999848671087
6573,Husch Husch kleine Hexe,1994,8.837274061992941e-25
404,Worm Up!,1994,9.379397582570168e-18
1936,Paparazzo,1994,0.9999276604465156
7367,More Backpacks and Blisters,1994,1.668063646594987e-18
265,Intrigue,1994,5.296789456247162e-05
1065,Vigo,1994,4.2305205536561225e-15
6617,Rapidough,1994,2.1137238396612222e-17
114,Ransom,1994,1.3869207965152342e-14
1411,"Fugger, Welser, Medici",1994,1.0
541,Das Motorsportspiel,1995,0.9999999443574263
3837,Rat-a-Tat Cat,1995,3.511357065730449e-19
220,High Society,1995,2.560091010220264e-06
915,Mystery of the Abbey,1995,0.9998421183589575
5953,Karambolage,1995,2.9198890141022244e-19
929,The Great Dalmuti,1995,3.1455304481493717e-16
619,The Bottle Imp,1995,0.995877098683961
3034,Cluedo: Super Sleuth,1995,3.3968122821281384e-07
1942,Foppen,1995,9.171907903924442e-12
635,Formula Motor Racing,1995,3.6159995361115085e-14
350,Hattrick,1995,0.00022065340086955838
1321,Catch the Match,1995,5.406718632761535e-25
668,Sternenhimmel,1995,0.0642002497115802
1162,Burp,1995,1.8710143746477225e-11
9194,Personality,1995,1.0328222898009684e-05
24803,Speed,1995,1.0583849795183706e-24
20810,Jenga Ultimate,1995,9.130268246040762e-16
3190,Quixo,1995,3.6138852169218614e-17
3984,Tahiti,1995,0.01023916243853959
3485,Anno Domini,1995,0.9999921809278679
1075,Big Bang,1995,1.8438370064635377e-27
373,Wrott & Swindlers,1995,0.07370547510487706
182,Knights of Charlemagne,1995,1.2772217163576382e-12
8830,Nach dem Regen,1995,0.0003035224681440528
471,Totem,1995,0.99998154758793
2604,Compatibility,1996,5.225894539124481e-14
293,Bamboleo,1996,5.32010368308479e-13
200,Entdecker,1996,0.9999420098760242
1177,Die Ritter von der Haselnuss,1996,7.906141922189162e-25
16,MarraCash,1996,0.1463825593117212
232,Serenissima,1996,1.0
434,Yucata',1996,1.156114821129205e-12
257,Kill Doctor Lucky,1996,2.985149795594344e-11
9597,Vier zu mir!,1996,7.931023983231184e-24
473,Olé!,1996,4.2213414128836824e-19
5590,Hallo Dachs!,1996,7.674959694401621e-20
1974,Das GROSSE und das kleine A,1996,2.5859245285860646e-13
1367,Grand National Derby,1996,0.00014625007922055352
486,Barnyard Buddies,1996,4.6912968219726075e-31
272,Downtown,1996,0.9943115193853895
10612,Champagne: The Game,1996,8.19184218959778e-30
10645,Mutabor: Im Irrgarten des Kalifen,1996,0.7301834444368113
344,Classic Art,1996,0.9999891760805895
64896,Formula D,1996,0.024506074576199115
834,Chronology,1996,0.9951916744705805
1171,Ricochet,1996,1.6290833938063262e-13
3469,China Topf,1996,7.345760263309584e-28
381,X Pasch,1996,0.9999999999998708
1439,Penguin Pile-Up,1996,6.635022071265233e-30
14012,Boing!,1996,6.373489374423586e-12
172,For Sale,1997,1.585453551469877e-17
3119,Haste Worte?,1997,3.546892671414827e-17
3570,Chicken Cha Cha Cha,1997,7.454188663573082e-27
124,Primordial Soup,1997,1.0
173,Formula Dé,1997,0.698071217999767
2633,DOG,1997,0.002249976259693219
2114,"Duck, Duck, Bruce",1997,9.194673045094794e-14
624,Quoridor,1997,1.1177050289335074e-11
1130,Halali,1997,3.3134019542350023e-12
8098,Jungle Speed,1997,2.429971080500696e-16
7947,Lucky Catch,1997,4.343330821374768e-18
10508,Leinen los!,1997,6.173517142137043e-24
853,...und tschüss!,1997,0.9956824720247014
2629,Ramses II,1997,3.030790055238598e-19
389,Die Mauer,1997,1.1247217207534833e-22
3435,Zwergen Ziehen,1997,3.231846470633055e-21
13223,The Best of Chronology,1997,3.2856346149125317e-16
11160,Think: Memo Crime,1997,0.04640348964512699
105,Colossal Arena,1997,0.9999938603585472
1163,"Ciao, Ciao...",1997,4.655025708335233e-11
8243,Rolit,1997,1.0815344744967727e-13
1017,Fresh Fish,1997,0.9999999999999998
686,Dr. Jekyll & Mr. Hyde,1997,0.9999999861809381
909,Saturn,1997,6.430966724805215e-20
2839,Fair Play,1997,2.797685566032916e-22
3,Samurai,1998,0.0023395642732106908
18057,Anno Domini: Natur,1998,5.493945640382927e-14
17997,Anno Domini: Sex & Crime,1998,2.316571620947103e-10
384,TurfMaster,1998,0.04076282055122822
337,Circus Flohcati,1998,2.8706307080648783e-11
116,Guillotine,1998,8.623593933465866e-10
17030,Anno Domini: Lifestyle,1998,1.6408495765243412e-08
357,Excape,1998,1.9547866430900163e-14
18085,Anno Domini: Kirche & Staat,1998,1.1535149973166928e-06
1028,Kraut & Rüben,1998,2.9335295283813354e-19
651,Zero Down,1998,0.9999524897125484
359,Bucket Brigade,1998,3.930549539761326e-13
374,Colorado County,1998,0.9289009647257538
296,Medieval Merchant,1998,0.9999999999999278
338,Bargain Hunter,1998,0.9999362944083661
106,Mystery Rummy: Jack the Ripper,1998,0.00011683916347346833
1898,Friesematenten,1998,0.9999991626045721
6191,Xe Queo!,1998,1.8504035923240156e-13
268,Cheops,1998,0.9990820620410296
8902,Das Quiz des 20. Jahrhunderts,1998,5.940763166256428e-06
1087,Matschig,1998,5.700946715140705e-21
461,Freibeuter,1998,2.4481675659481886e-10
294,Keydom,1998,0.9999999999754079
502,Bretonenboule,1998,4.721927852976166e-25
3194,Dots,1998,5.762826483781764e-21
1353,Time's Up!,1999,0.39339018472488774
12,Ra,1999,0.9999989869749176
74,Apples to Apples,1999,1.9038079497047953e-15
4493,Kayanak,1999,2.23343883015914e-20
372,Schotten Totten,1999,1.4385240312049532e-05
51,Ricochet Robots,1999,0.8516406241340868
70,Big City,1999,0.9212166929169122
632,Cloud 9,1999,1.0451693191088783e-13
3137,Anno Domini: Erfindungen,1999,1.063876160268052e-13
17924,Anno Domini: Frauen,1999,2.585714278761035e-11
3586,Sherlock,1999,1.4047672325674686e-12
831,Schrille Stille,1999,1.6869811090658987e-09
1307,Haunted Castle,1999,2.024047337686525e-27
765,Space Walk,1999,1.1819177141715763e-12
133,Frischfleisch,1999,0.9999999999999836
141,Andromeda,1999,0.9999999970771456
8651,Pi mal Daumen,1999,4.796839929393202e-13
403,Elk Fest,1999,1.3200229636557755e-16
552,Bus,1999,1.0
348,Merchants of the Middle Ages,1999,1.0
8964,Funny Bunny,1999,4.7017883696892925e-27
368,Relationship Tightrope,1999,7.457022338280947e-12
111,Rheinländer,1999,0.9878675692594985
499,Arbos,1999,5.923398504375345e-21
17996,Anno Domini: Seefahrer & Flieger,1999,2.380713075006514e-17
