bgg_id,name,rank_h_index,h_index,rank_g_index,g_index
20952,UNO Junior,389,50,356,87
291457,Gloomhaven: Jaws of the Lion,389,50,371,85
7717,Carcassonne: The Castle,389,50,382,84
590,Mille Bornes,389,50,392,83
2425,Battleship,389,50,392,83
7688,Memory,389,50,392,83
123260,Suburbia,389,50,426,80
1294,Clue,389,50,467,77
137297,Rise of Augustus,389,50,467,77
13004,The Downfall of Pompeii,389,50,491,75
68425,Eminent Domain,389,50,491,75
3,Samurai,389,50,508,74
180680,Automobiles,389,50,533,72
176494,Isle of Skye: From Chieftain to King,389,50,550,71
303672,Trek 12: Himalaya,389,50,550,71
113924,Zombicide,389,50,567,70
168584,Love Letter: Batman,389,50,585,69
345584,Mindbug: First Contact,389,50,601,68
18803,Black Stories,389,50,699,62
9364,Doppelkopf,418,49,185,120
34166,Finito!,418,49,364,86
1472,Five Crowns,418,49,416,81
224597,Warhammer Underworlds: Shadespire,418,49,416,81
35503,Ra: The Dice Game,418,49,434,79
270836,Imperial Settlers: Roll & Write,418,49,434,79
111148,Würfel Bohnanza,418,49,448,78
216132,Clans of Caledonia,418,49,448,78
151022,Baseball Highlights: 2045,418,49,467,77
328479,Living Forest,418,49,533,72
194626,Happy Salmon,418,49,585,69
260407,Soviet Kitchen Unleashed,418,49,601,68
37196,Sorry! Sliders,418,49,661,64
183251,Karuba,418,49,661,64
207830,5-Minute Dungeon,418,49,684,63
1887,Legend of the Five Rings,433,48,181,122
212445,Blood Bowl (2016 Edition),433,48,315,93
148203,Dutch Blitz,433,48,392,83
7865,10 Days in Africa,433,48,448,78
138788,Dungeon Roll,433,48,491,75
22345,Yspahan,433,48,508,74
136888,Bruges,433,48,533,72
8051,Attika,433,48,601,68
184921,Bunny Kingdom,433,48,613,67
27162,Kingsburg,433,48,641,65
41010,My First Carcassonne,433,48,661,64
181304,Mysterium,433,48,684,63
54137,Battle Sheep,433,48,699,62
171668,The Grizzled,433,48,699,62
293348,Flesh and Blood,447,47,216,114
17534,Just4Fun,447,47,328,91
5,Acquire,447,47,356,87
18,RoboRally,447,47,356,87
172081,Burgle Bros.,447,47,371,85
39683,At the Gates of Loyang,447,47,491,75
260300,Dungeon Mayhem,447,47,491,75
5867,10 Days in Europe,447,47,533,72
204135,Skyjo,447,47,533,72
291453,SCOUT,447,47,533,72
129090,Roll For It!,447,47,567,70
176189,Zombicide: Black Plague,447,47,613,67
56692,Parade,447,47,628,66
293014,Nidavellir,447,47,628,66
203427,Fabled Fruit,447,47,661,64
178570,Unusual Suspects,447,47,684,63
251247,Barrage,447,47,684,63
220,High Society,447,47,717,61
366013,Heat: Pedal to the Metal,447,47,717,61
20100,Wits & Wagers,447,47,740,60
4583,Pinochle,467,46,277,99
328871,Terraforming Mars: Ares Expedition,467,46,320,92
197405,Tak,467,46,382,84
227466,Break the Code,467,46,392,83
115746,War of the Ring: Second Edition,467,46,405,82
288513,Tranquility,467,46,405,82
128271,Ginkgopolis,467,46,434,79
201,The Rose King,467,46,448,78
128,Take it Easy!,467,46,480,76
17405,1846: The Race for the Midwest,467,46,480,76
167400,Ashes Reborn: Rise of the Phoenixborn,467,46,491,75
6830,Zendo,467,46,519,73
341169,Great Western Trail: Second Edition,467,46,519,73
102680,Trajan,467,46,550,71
219513,Bärenpark,467,46,550,71
232988,The Castles of Burgundy: The Dice Game,467,46,601,68
137330,Cube Quest,467,46,613,67
256960,Pax Pamir: Second Edition,467,46,628,66
206915,Tempel des Schreckens,467,46,684,63
6351,Gulo Gulo,467,46,699,62
102794,Caverna: The Cave Farmers,467,46,740,60
236457,Architects of the West Kingdom,467,46,740,60
146508,T.I.M.E Stories,467,46,791,58
908,Tally Ho!,490,45,352,88
9851,Shut the Box,490,45,371,85
2593,Pass the Pigs,490,45,382,84
37628,Haggis,490,45,392,83
146278,Tash-Kalar: Arena of Legends,490,45,416,81
192343,Bubblee Pop,490,45,434,79
16395,Blokus Duo,490,45,448,78
1197,Blink,490,45,491,75
230914,Carcassonne Big Box 6,490,45,519,73
256382,Disney Villainous: The Worst Takes it All,490,45,550,71
121423,Skyline,490,45,567,70
12002,Jambo,490,45,585,69
66362,Glen More,490,45,585,69
284584,Troyes Dice,490,45,613,67
85256,Timeline: Inventions,490,45,628,66
163166,One Night Ultimate Werewolf: Daybreak,490,45,641,65
119890,Agricola: All Creatures Big and Small,490,45,661,64
169426,Roll Player,490,45,661,64
140934,Arboretum,490,45,684,63
7854,YINSH,490,45,717,61
38545,Kamisado,490,45,717,61
173341,Loopin' Chewie,490,45,717,61
74,Apples to Apples,490,45,740,60
4209,Monza,490,45,740,60
39206,Tac Tac Jack,490,45,760,59
280794,Etherfields,490,45,760,59
217372,The Quest for El Dorado,490,45,815,57
183840,Oh My Goods!,490,45,840,56
304783,Hadrian's Wall,490,45,867,55
339789,Welcome to the Moon,490,45,867,55
19643,World of Warcraft Trading Card Game,520,44,269,101
10400,Patience,520,44,299,95
3347,Solo,520,44,382,84
66590,Just4Fun Colours,520,44,392,83
128780,Pax Porfiriana,520,44,519,73
302280,Shifting Stones,520,44,519,73
19841,Pentago,520,44,550,71
2346,DVONN,520,44,567,70
146791,Shadows of Brimstone: City of the Ancients,520,44,567,70
245643,Luxor,520,44,567,70
317299,Loco Momo,520,44,567,70
205059,Mansions of Madness: Second Edition,520,44,601,68
50381,Cards Against Humanity,520,44,613,67
196326,Love Letter: Premium Edition,520,44,613,67
55670,Macao,520,44,641,65
18833,Lord of the Rings: The Confrontation,520,44,661,64
71721,Space Hulk: Death Angel – The Card Game,520,44,684,63
112373,BraveRats,520,44,684,63
233961,Claim,520,44,684,63
305682,Rolling Realms,520,44,684,63
251412,On Tour,520,44,699,62
236217,Timebomb,520,44,717,61
232832,Century: Golem Edition,520,44,760,59
170216,Blood Rage,520,44,815,57
300531,Paleo,520,44,970,52
164812,Roll For It! Deluxe Edition,545,43,467,77
278553,Silver,545,43,508,74
79828,A Few Acres of Snow,545,43,533,72
31594,In the Year of the Dragon,545,43,550,71
40270,Call of Cthulhu: The Card Game,545,43,567,70
141572,Paperback,545,43,567,70
170587,Don't Mess with Cthulhu,545,43,567,70
73664,Cabo,545,43,641,65
200077,Mint Works,545,43,641,65
58421,Egizia,545,43,661,64
155703,Evolution,545,43,661,64
160069,Ticket to Ride: 10th Anniversary,545,43,661,64
265683,Second Chance,545,43,661,64
25417,BattleLore,545,43,699,62
30933,BANG! The Bullet!,545,43,699,62
303553,Skulls of Sedlec,545,43,699,62
309110,Food Chain Island,545,43,699,62
6714,Go Away Monster!,545,43,717,61
277659,Final Girl,545,43,717,61
166669,San Juan (Second Edition),545,43,740,60
228504,Cat Lady,545,43,740,60
234277,Nusfjord,545,43,760,59
242705,Aeon Trespass: Odyssey,545,43,760,59
299169,Spicy,545,43,760,59
270673,Silver & Gold,545,43,791,58
231664,Fast Forward: FEAR,545,43,815,57
246784,Cryptid,545,43,840,56
241590,Smart10,545,43,867,55
135779,A Fake Artist Goes to New York,545,43,929,53
169654,Deep Sea Adventure,545,43,970,52
272453,KeyForge: Age of Ascension,575,42,371,85
17104,Canasta,575,42,382,84
3181,Farkle,575,42,405,82
826,Cartagena,575,42,416,81
1032,B-17: Queen of the Skies,575,42,448,78
101721,Mage Wars Arena,575,42,448,78
357563,Akropolis,575,42,467,77
62222,Commands & Colors: Napoleonics,575,42,508,74
40628,Finca,575,42,533,72
220877,Rajas of the Ganges,575,42,601,68
340,Frank's Zoo,575,42,613,67
7866,10 Days in the USA,575,42,628,66
111341,The Great Zimbabwe,575,42,641,65
158899,Colt Express,575,42,641,65
3201,Lord of the Rings: The Confrontation,575,42,699,62
36235,The Duke,575,42,717,61
43015,Hansa Teutonica,575,42,760,59
169416,Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set,575,42,760,59
306881,Railroad Ink Challenge: Lush Green Edition,575,42,760,59
93,El Grande,575,42,791,58
43443,Castle Panic,575,42,791,58
336382,Marvel United: X-Men,575,42,791,58
127398,Legends of Andor,575,42,815,57
287084,Oriflamme,575,42,815,57
17133,Railways of the World,575,42,902,54
225694,Decrypto,575,42,929,53
157354,Five Tribes: The Djinns of Naqala,575,42,970,52
251661,Oathsworn: Into the Deepwood,575,42,1074,49
11017,Crazy Eights,603,41,52,223
175621,Epic Card Game,603,41,405,82
5072,Carrom,603,41,448,78
156714,Doomtown: Reloaded,603,41,480,76
300936,Via Magica,603,41,550,71
1260,Rook,603,41,585,69
155987,Abyss,603,41,585,69
494,Ave Caesar,603,41,601,68
175914,Food Chain Magnate,603,41,641,65
245934,Carpe Diem,603,41,641,65
528,ZÈRTZ,603,41,661,64
318553,Rajas of the Ganges: The Dice Charmers,603,41,661,64
16496,Roma,603,41,684,63
31105,Archaeology: The Card Game,603,41,717,61
31999,TZAAR,603,41,717,61
122515,Keyflower,603,41,717,61
187273,The Dresden Files Cooperative Card Game,603,41,717,61
218421,Street Masters,603,41,717,61
140,Pit,603,41,760,59
155695,Age of War,603,41,760,59
318184,Imperium: Classics,603,41,760,59
29368,Last Night on Earth: The Zombie Game,603,41,791,58
37904,Formula D,603,41,791,58
126042,Nations,603,41,791,58
146886,La Granja,603,41,791,58
170042,Raiders of the North Sea,603,41,791,58
3570,Chicken Cha Cha Cha,603,41,815,57
163967,Tiny Epic Galaxies,603,41,815,57
244916,Drop It,603,41,815,57
526,Abalone,603,41,840,56
1219,Labyrinth,603,41,840,56
143693,Glass Road,603,41,840,56
10547,Betrayal at House on the Hill,603,41,867,55
124708,Mice and Mystics,603,41,867,55
218417,Aeon's End: War Eternal,603,41,867,55
92828,Dixit: Odyssey,603,41,902,54
175117,Celestia,603,41,902,54
72125,Eclipse: New Dawn for the Galaxy,603,41,929,53
153938,Camel Up,603,41,929,53
352515,Trio,603,41,929,53
5048,Candy Land,643,40,9,2411
15889,Scopa,643,40,260,103
1270,Star Wars Customizable Card Game,643,40,274,100
7682,Go Fish,643,40,299,95
586,Up Front,643,40,328,91
224483,Exceed Fighting System,643,40,328,91
3720,Subbuteo,643,40,382,84
27627,Talisman: Revised 4th Edition,643,40,448,78
2952,Trivial Pursuit: Genus Edition,643,40,508,74
1111,Taboo,643,40,533,72
5895,Hungry Hungry Hippos,643,40,550,71
295260,It's a Wonderful World: Heritage Edition,643,40,567,70
106,Mystery Rummy: Jack the Ripper,643,40,585,69
34707,The Hanging Gardens,643,40,585,69
271460,UNO Flip!,643,40,585,69
24417,Factory Fun,643,40,613,67
2381,Scattergories,643,40,628,66
173,Formula Dé,643,40,641,65
314088,Agropolis,643,40,641,65
34585,Keltis,643,40,699,62
1353,Time's Up!,643,40,740,60
6411,Blokus 3D,643,40,740,60
117995,"Spot it! 1,2,3",643,40,740,60
46,Medici,643,40,760,59
1258,Phase 10,643,40,760,59
209325,The Game: Extreme,643,40,760,59
350184,Earth,643,40,760,59
270314,Ohanami,643,40,791,58
421,1830: Railways & Robber Barons,643,40,815,57
