rank_h_index,h_index,rank_g_index,g_index,bgg_user_name
472,37,413,75,doogie58
472,37,413,75,goblinjester
472,37,413,75,rocksnrolls
472,37,493,72,moppersmurf
472,37,493,72,the duke bgg
472,37,493,72,wargamer55
472,37,522,71,fedspaz
472,37,522,71,mcphisto1
472,37,623,68,auricle
472,37,623,68,iamjacksusername
472,37,696,66,regine
472,37,696,66,simonocles
472,37,741,65,general hoth
472,37,741,65,karmicjustice
472,37,741,65,mickwood
472,37,787,64,ukraineboo
472,37,843,63,carnage994
472,37,843,63,ktprymus
472,37,843,63,minneem
472,37,914,62,hartyfarty
472,37,914,62,phil4477
472,37,970,61,flpii
472,37,970,61,jaimeocampo
472,37,970,61,kinga1965
472,37,970,61,legendary
472,37,970,61,mlaust10
472,37,1034,60,butterfly0038
472,37,1034,60,kdsz
472,37,1034,60,matar9000
472,37,1034,60,randomguykyle
472,37,1034,60,styates
472,37,1034,60,wwwebb
472,37,1109,59,atos25
472,37,1109,59,bashmore53
472,37,1109,59,lorand83
472,37,1109,59,mathiou28
472,37,1109,59,ripleyjm
472,37,1109,59,sgclouthier
472,37,1109,59,sologamingdad
472,37,1202,58,shigeno21
472,37,1202,58,thdizzy
472,37,1276,57,eric ridley
472,37,1362,56,doomturtle
472,37,1362,56,historysteph
472,37,1362,56,ryszkins
472,37,1362,56,wyldeoak
472,37,1459,55,gsreis
472,37,1459,55,woelf
472,37,1568,54,chpiil
472,37,1568,54,defdamesdompi
472,37,1568,54,ksaarto
472,37,1674,53,jaxsnop
472,37,1674,53,radagast14
472,37,1792,52,quayde
472,37,1792,52,remmievets
472,37,1792,52,seanjan
472,37,1906,51,adularia25
472,37,1906,51,aiken drum
472,37,1906,51,ccmonter
472,37,2053,50,meselfr
472,37,2053,50,sagi
472,37,2204,49,fustero
472,37,2351,48,toche34
546,36,71,113,stormparkiet
546,36,85,109,dbucak
546,36,150,96,scifi66
546,36,161,94,ludesfactor
546,36,196,90,robrun
546,36,216,88,ternal2
546,36,230,87,bayushi sezaru
546,36,230,87,stephan valkyser
546,36,266,84,shadowdale
546,36,266,84,svanhildur
546,36,266,84,wentu
546,36,390,76,originaldibbler
546,36,413,75,nadjbalint
546,36,413,75,spearjr
546,36,438,74,ldohrebl
546,36,522,71,gamethyme
546,36,522,71,monkeyrobot
546,36,589,69,grimwold
546,36,589,69,rhinoceritis
546,36,623,68,cirdan
546,36,623,68,earl of dukes
546,36,623,68,jhimbob
546,36,623,68,oi_you_nutter
546,36,623,68,ultreia
546,36,652,67,angryquark
546,36,652,67,henryct
546,36,652,67,rustylantern
546,36,652,67,tommy5446
546,36,696,66,arkeo
546,36,741,65,nycavri
546,36,843,63,cyol
546,36,843,63,jeffwolfe
546,36,914,62,ludomania
546,36,914,62,neutrinos
546,36,970,61,austinhaws
546,36,970,61,ludosophicus
