rank,bgg_user_name,g_index
1109,drenus,59
1109,eduardpop,59
1109,ejolmos,59
1109,emmdizzle24,59
1109,feraltetsuo,59
1109,fish34777,59
1109,fredrik83,59
1109,gabrielcohn,59
1109,geocaller,59
1109,gevati,59
1109,gizmobj,59
1109,grandtheftx,59
1109,gryfon,59
1109,gulgothica,59
1109,haschim,59
1109,heinrichsteven,59
1109,ingenes,59
1109,inmarg,59
1109,izyumoff,59
1109,johnpnewman,59
1109,johnwong882,59
1109,jojo 96,59
1109,josseroo,59
1109,juandalf,59
1109,k____,59
1109,kazan,59
1109,kika80_litwa,59
1109,konwacht,59
1109,korrun,59
1109,laerfan,59
1109,larahall424,59
1109,lina688,59
1109,lorand83,59
1109,ludom,59
1109,madhattr999,59
1109,madrusch,59
1109,manofsorrows,59
1109,maskeraid,59
1109,mathiou28,59
1109,mattnmanda,59
1109,nemesispg,59
1109,nzardoshti,59
1109,opotamus,59
1109,owein77,59
1109,pendragon13uk,59
1109,phagol exlebon,59
1109,quartelmestre,59
1109,ripleyjm,59
1109,rmartinc,59
1109,roadrunner1919,59
1109,seraph77,59
1109,seriensieger,59
1109,serkelion,59
1109,sgclouthier,59
1109,skate,59
1109,socialsnacker,59
1109,sologamingdad,59
1109,supersausagedog,59
1109,sylwuniu,59
1109,teach101,59
1109,theoclarke,59
1109,theslex,59
1109,tpholt,59
1109,valiant64,59
1109,victorem,59
1109,vins,59
1109,wapakguy,59
1109,woolridges,59
1109,ziggyzambo,59
1202,abravenewgeek,58
1202,andersm,58
1202,armada01,58
1202,arumata,58
1202,axe wizard,58
1202,beer4dad,58
1202,boardgameambassador,58
1202,bowtechktm,58
1202,brettspielhabicht,58
1202,brettspielhelden dd,58
1202,broken toaster,58
1202,calamar,58
1202,ceti,58
1202,chaps357,58
1202,crynus,58
1202,deroche,58
1202,dion,58
1202,dreadnaut,58
1202,ef__,58
1202,eggles,58
1202,griever667,58
1202,gwen,58
1202,hessu68,58
1202,hiroprotagonist_,58
1202,hoskdona,58
1202,jbsiena,58
1202,johnyokurka,58
1202,jonbob,58
1202,jonchvic,58
1202,kalendrys,58
1202,l3mst0r,58
1202,leonbloo,58
1202,lordchanter,58
1202,martinwin,58
1202,mezmorki,58
1202,michael poplawski,58
1202,mindastray,58
1202,moameat,58
1202,monkefied9,58
1202,mrquackers,58
1202,necrarcha,58
1202,nicknelson,58
1202,onus,58
1202,paulclarke339,58
1202,pawnpusher,58
1202,pcraven18,58
1202,pegp,58
1202,re4isnumber1,58
1202,ronster0,58
1202,sardonic wolf,58
1202,schkff,58
1202,shigeno21,58
1202,sirroke,58
1202,sonofachung,58
1202,stephenm,58
1202,sweetsweetdoughnuts,58
1202,tetheria,58
1202,thdizzy,58
1202,the_lifetamer,58
1202,themackern,58
1202,thenamewastaken,58
1202,theokester,58
1202,tinger1996,58
1202,tommynomad,58
1202,tsuk,58
1202,valmar,58
1202,vetochka,58
1202,wojtkielewicz67,58
1202,wolfox,58
1202,wpigrad,58
1202,zgabor,58
1202,zinos,58
1202,zugli,58
1202,zweken,58
1276,7ofann,57
1276,aceof86,57
1276,aldanra,57
1276,anemaat,57
1276,anemelos,57
1276,annagee,57
1276,arcturian,57
1276,asta,57
1276,authentic,57
1276,bjcott,57
1276,blekk42,57
1276,cadavaca,57
1276,cb droege,57
1276,chearns,57
1276,colorfulpockets,57
1276,crsluggo,57
1276,daanenine,57
1276,dima3103,57
1276,dmillar71,57
1276,drewcooter,57
1276,drgtr71,57
1276,druvey,57
1276,e_nichols,57
1276,eric ridley,57
1276,fender1499,57
1276,finrondfelagund,57
1276,fslocalking,57
1276,godfatherpts,57
1276,godurmyall,57
1276,gyges,57
1276,hc productions,57
1276,heppydie,57
1276,ingo_76,57
1276,jdollenk,57
1276,jedirahl,57
1276,jeremiah_lee,57
1276,jiistme,57
1276,jimok,57
1276,joker2,57
1276,joshstar,57
1276,juriel1,57
1276,kayfree31,57
1276,kazoober,57
1276,kevinspinti,57
1276,keyloser,57
1276,madcapmartini,57
1276,malacandra,57
1276,markbesada,57
1276,mikeg99,57
1276,mintroll,57
1276,missiloon,57
1276,misulache01,57
1276,mmc chuck,57
1276,moramis,57
1276,mylittlepwny,57
1276,nastycleavage,57
1276,ndirksen,57
1276,pangin,57
1276,paul10liao,57
1276,percepter,57
1276,pjlawall,57
1276,pkufahl,57
1276,ponton,57
1276,rasmussen81,57
1276,rob in richmond,57
1276,rosemelnab,57
1276,rstites25,57
1276,sammysnijbonen,57
1276,shiftymruzik,57
1276,sixstrings4one,57
1276,smile10089,57
1276,spacealien,57
1276,spazz451,57
1276,stormybriggs,57
1276,switza,57
1276,takvorian,57
1276,tavlas,57
1276,thanaguar,57
1276,the pale grin,57
1276,thulir,57
1276,tiggers,57
1276,tmjjs,57
1276,tyndal,57
1276,vladdswrath,57
1276,willshaw67,57
1276,wolfhe4rt,57
1362,adamdynris,56
1362,ajax013,56
1362,al1-f78,56
1362,alexradoi,56
1362,amadannabriona,56
1362,apple paul,56
1362,bigchocolate69,56
1362,boardgamemamasaurus,56
1362,brasov,56
1362,burkhomg,56
1362,cabbagekingaf,56
1362,carolineellen,56
1362,chrisdh,56
1362,chuie,56
1362,cobyhectic,56
1362,combatwombat81,56
1362,coxy5,56
1362,czarny2501,56
1362,doomturtle,56
1362,enibas642,56
1362,entwife,56
1362,erinthered,56
1362,es69,56
1362,europaexpress,56
1362,faust45,56
1362,fester1969,56
1362,fili,56
1362,fwing,56
1362,garthek,56
1362,gomer,56
1362,gustavmahler,56
1362,guthwine3,56
1362,hammerken,56
1362,herebebooks,56
1362,historysteph,56
1362,howitzer_120mm,56
1362,invisiblesimmer,56
1362,jackwhispers,56
1362,jeroen14014,56
1362,jjacjackson,56
1362,jkopena,56
1362,jnharr,56
1362,jufi,56
1362,kesulin,56
1362,kyralia,56
1362,lonnie913,56
1362,lotsa_muffins,56
