country_code,population,population_rank,num_users,total_ratings,total_ratings_rank,ratings_per_capita,ratings_per_capita_rank,top_game_bgg_id,top_game_name,top_game_year,top_game_num_ratings,top_game_avg_rating,top_game_bayes_rating
md,2615199,142,49,3044,70,116.396,,,,,,,
mt,518536,172,94,2661,71,513.176,,,,,,,
ge,3708610,131,123,2451,72,66.089,,,,,,,
ec,17797737,67,86,2164,73,12.159,,,,,,,
kw,4250114,129,56,1940,74,45.646,,,,,,,
mk,2065092,148,97,1924,75,93.168,,,,,,,
pa,4351267,128,70,1838,76,42.241,,,,,,,
bd,169356251,8,31,1622,77,0.958,,,,,,,
sm,33745,200,5,1500,78,4445.103,,,,,,,
az,10137750,92,35,1454,79,14.342,,,,,,,
eg,109262178,14,47,1360,80,1.245,,,,,,,
bh,1463265,154,20,1270,81,86.792,,,,,,,
sv,6314167,112,29,1146,82,18.150,,,,,,,
qa,2688235,140,22,1138,83,42.333,,,,,,,
mo,686607,166,31,1102,84,160.499,,,,,,,
do,11117873,85,45,1078,85,9.696,,,,,,,
ke,53005614,27,15,1066,86,2.011,,,,,,,
am,2790974,139,41,951,87,34.074,,,,,,,
ba,3270943,135,49,927,88,28.340,,,,,,,
to,106017,186,4,787,89,742.334,,,,,,,
kg,6691800,110,8,691,90,10.326,,,,,,,
bn,445373,173,15,649,91,145.721,,,,,,,
me,619211,168,23,585,92,94.475,,,,,,,
py,6703799,109,16,511,93,7.623,,,,,,,
lb,5592631,115,28,506,94,9.048,,,,,,,
jo,11148278,84,23,476,95,4.270,,,,,,,
pk,231402117,5,36,424,96,0.183,,,,,,,
et,120283026,12,6,412,97,0.343,,,,,,,
jm,2827695,136,11,391,98,13.828,,,,,,,
al,2811666,137,22,370,99,13.159,,,,,,,
uz,34915100,42,13,361,100,1.034,,,,,,,
aq,5000,206,19,344,101,6880.000,,,,,,,
ma,37076584,40,13,327,102,0.882,,,,,,,
tt,1525663,153,17,304,103,19.926,,,,,,,
bs,407906,174,14,299,104,73.301,,,,,,,
mm,53798084,26,16,290,105,0.539,,,,,,,
so,17065581,71,1,265,106,1.553,,,,,,,
cv,587925,170,2,264,107,44.904,,,,,,,
ug,45853778,31,15,250,108,0.545,,,,,,,
om,4520471,127,10,248,109,5.486,,,,,,,
mc,36686,199,6,234,110,637.845,,,,,,,
tg,8644829,101,3,223,111,2.580,,,,,,,
tn,12262946,79,18,214,112,1.745,,,,,,,
gd,124610,183,1,200,113,160.501,,,,,,,
lc,179651,181,5,200,113,111.327,,,,,,,
mn,3347782,134,12,182,115,5.436,,,,,,,
cu,11256372,83,8,182,115,1.617,,,,,,,
kp,25971909,54,9,182,115,0.701,,,,,,,
hn,10278345,91,18,174,118,1.693,,,,,,,
iq,43533592,36,13,157,119,0.361,,,,,,,
cm,27198628,53,7,148,120,0.544,,,,,,,
fj,924610,161,4,145,121,15.682,,,,,,,
pg,9949437,93,3,139,122,1.397,,,,,,,
sd,45657202,33,2,126,123,0.276,,,,,,,
mu,1266060,157,5,118,124,9.320,,,,,,,
td,17179740,69,2,118,124,0.687,,,,,,,
dz,44177969,34,23,113,126,0.256,,,,,,,
vc,104332,188,2,111,127,106.391,,,,,,,
ao,34503774,43,8,108,128,0.313,,,,,,,
kh,16589023,73,14,106,129,0.639,,,,,,,
zm,19473125,64,2,104,130,0.534,,,,,,,
va,524,207,6,101,131,19274.809,,,,,,,
sz,1192271,159,2,101,131,8.471,,,,,,,
xk,1786038,151,1,98,133,5.487,,,,,,,
lk,22156000,58,11,93,134,0.420,,,,,,,
bf,22100683,59,2,87,135,0.394,,,,,,,
li,39039,198,8,82,136,210.046,,,,,,,
tz,63588334,23,9,80,137,0.126,,,,,,,
ng,213401323,7,13,80,137,0.037,,,,,,,
ps,4922749,125,2,75,139,1.524,,,,,,,
af,40099462,37,15,72,140,0.180,,,,,,,
mr,4614974,126,1,71,141,1.538,,,,,,,
mw,19889742,62,1,59,142,0.297,,,,,,,
mh,42050,197,1,58,143,137.931,,,,,,,
st,223107,179,1,53,144,23.755,,,,,,,
cc,,,1,52,145,,,,,,,,
ki,128874,182,2,45,146,34.918,,,,,,,
sr,612985,169,2,43,147,7.015,,,,,,,
sb,707851,165,1,43,147,6.075,,,,,,,
zw,15993524,74,8,42,149,0.263,,,,,,,
mg,28915653,50,2,39,150,0.135,,,,,,,
dj,1105557,160,2,37,151,3.347,,,,,,,
mv,521457,171,4,36,152,6.904,,,,,,,
ag,93219,190,9,33,153,35.401,,,,,,,
gh,32833031,47,8,31,154,0.094,,,,,,,
bb,281200,178,5,30,155,10.669,,,,,,,
na,2530151,144,6,30,155,1.186,,,,,,,
bz,400031,175,4,25,157,6.250,,,,,,,
ni,6850540,106,4,24,158,0.350,,,,,,,
mz,32077072,48,1,24,158,0.075,,,,,,,
ws,218764,180,2,20,160,9.142,,,,,,,
sl,8420641,102,1,19,161,0.226,,,,,,,
sc,99258,189,1,17,162,17.127,,,,,,,
ga,2341179,145,2,16,163,0.683,,,,,,,
sn,16876720,72,3,13,164,0.077,,,,,,,
bq,,,1,11,165,,,,,,,,
aw,106537,185,4,10,166,9.386,,,,,,,
bw,2588423,143,3,9,167,0.348,,,,,,,
ht,11447569,82,2,8,168,0.070,,,,,,,
rw,13461888,76,2,8,168,0.059,,,,,,,
cd,95894118,16,4,8,168,0.008,,,,,,,
tl,1320942,156,2,7,171,0.530,,,,,,,
gm,2639916,141,2,7,171,0.265,,,,,,,
np,30034989,49,3,7,171,0.023,,,,,,,
ai,,,5,7,171,,,,,,,,
er,3620312,132,1,6,175,0.166,,,,,,,
ml,21904983,60,4,4,176,0.018,,,,,,,
ss,10748272,86,1,3,177,0.028,,,,,,,
bi,12551213,78,1,3,177,0.024,,,,,,,
kn,47606,194,1,2,179,4.201,,,,,,,
gy,804567,163,2,2,179,0.249,,,,,,,
ly,6735277,108,2,2,179,0.030,,,,,,,
pm,,,1,2,179,,,,,,,,
tf,,,1,2,179,,,,,,,,
tc,45114,195,1,1,184,2.217,,,,,,,
dm,72412,192,1,1,184,1.381,,,,,,,
bt,777486,164,1,1,184,0.129,,,,,,,
km,821625,162,1,1,184,0.122,,,,,,,
cg,5835806,114,1,1,184,0.017,,,,,,,
tm,6341855,111,1,1,184,0.016,,,,,,,
la,7425057,103,1,1,184,0.013,,,,,,,
tj,9750064,94,1,1,184,0.010,,,,,,,
gn,13531906,75,1,1,184,0.007,,,,,,,
sy,21324367,61,1,1,184,0.005,,,,,,,
ne,25252722,56,1,1,184,0.004,,,,,,,
ye,32981641,46,1,1,184,0.003,,,,,,,
bv,,,1,1,184,,,,,,,,
ck,,,1,1,184,,,,,,,,
hm,,,1,1,184,,,,,,,,
sh,,,1,1,184,,,,,,,,
ci,27478249,52,,,,,,,,,,,
bj,12996895,77,,,,,,,,,,,
cf,5457154,117,,,,,,,,,,,
lr,5193416,121,,,,,,,,,,,
ls,2281454,146,,,,,,,,,,,
gw,2060721,149,,,,,,,,,,,
gq,1634466,152,,,,,,,,,,,
vu,319137,177,,,,,,,,,,,
fm,113131,184,,,,,,,,,,,
vi,105870,187,,,,,,,,,,,
mp,49481,193,,,,,,,,,,,
sx,42846,196,,,,,,,,,,,
mf,31948,201,,,,,,,,,,,
vg,31122,202,,,,,,,,,,,
pw,18024,203,,,,,,,,,,,
nr,12511,204,,,,,,,,,,,
tv,11204,205,,,,,,,,,,,
