rank,bgg_id,name
619,72287,Mr. Jack Pocket
620,169124,Flick 'em Up!
621,143515,Coal Baron
622,119788,Hyperborea
623,230080,Majesty: For the Realm
624,116,Guillotine
625,345972,Cat in the Box: Deluxe Edition
626,160851,Lanterns: The Harvest Festival
627,3955,BANG!
628,218333,Rhino Hero: Super Battle
629,256952,Zombie Kidz Evolution
630,216734,Dice Throne: Season One
631,121,Dune
632,65532,Defenders of the Realm
633,140933,Blueprints
634,169255,A Game of Thrones: The Card Game (Second Edition)
635,30380,Cuba
636,191977,The Castles of Burgundy: The Card Game
637,82168,Escape from the Aliens in Outer Space
638,31730,Wabash Cannonball
639,38054,Snow Tails
640,46,Medici
641,171233,The Big Book of Madness
642,157809,Nations: The Dice Game
643,192457,Cry Havoc
644,71721,Space Hulk: Death Angel – The Card Game
645,166384,Spyfall
646,5404,Amun-Re
647,163602,XCOM: The Board Game
648,2397,Backgammon
649,110277,Among the Stars
650,22827,StarCraft: The Board Game
651,205359,Star Wars: Destiny
652,346703,7 Wonders: Architects
653,24181,Imperial
654,284742,Honey Buzz
655,145659,Scoville
656,193214,Meeple Circus
657,201921,Tiny Epic Quest
658,272738,Jaws
659,29368,Last Night on Earth: The Zombie Game
660,203420,Exit: The Game – The Abandoned Cabin
661,216459,The Lost Expedition
662,217861,Paper Tales
663,332772,Revive
664,144592,Bruxelles 1893
665,257501,KeyForge: Call of the Archons
666,194880,Dream Home
667,340466,Unfathomable
668,193558,The Oracle of Delphi
669,244711,Newton
670,300877,New York Zoo
671,27588,Zooloretto
672,202426,Sidereal Confluence
673,322289,Darwin's Journey
674,266830,QE
675,307002,Regicide
676,414317,Harmonies
677,195314,Herbaceous
678,254386,Raccoon Tycoon
679,356123,Turing Machine
680,298047,Marvel United
681,6472,A Game of Thrones
682,104710,Wiz-War (Eighth Edition)
683,42776,Gears of War: The Board Game
684,181521,Warhammer Quest: The Adventure Card Game
685,88,Torres
686,240980,Blood on the Clocktower
687,244992,The Mind
688,283393,Aquatica
689,394,Kahuna
690,131366,Eight-Minute Empire
691,15817,Manila
692,150999,Valley of the Kings
693,137988,Zombicide Season 2: Prison Outbreak
694,241451,Aeon's End: Legacy
695,126792,Myrmes
696,256382,Disney Villainous: The Worst Takes it All
697,274637,"Unmatched: Battle of Legends, Volume One"
698,58281,Summoner Wars
699,305096,Endless Winter: Paleoamericans
700,171669,Discoveries: The Journals of Lewis & Clark
701,217449,NMBR 9
702,207336,Honshū
703,53953,Thunderstone
704,42452,Rattus
705,121410,Steam Park
706,245476,CuBirds
707,929,The Great Dalmuti
708,295895,Distilled
709,139030,Mascarade
710,262215,Blackout: Hong Kong
711,142379,Escape Plan
712,137269,Spyrium
713,2346,DVONN
714,159508,AquaSphere
715,102548,Dungeon Fighter
716,438,Scotland Yard
717,125678,DC Deck-Building Game
718,29223,Marrakech
719,127024,Room 25
720,173,Formula Dé
721,11170,Heroscape Master Set: Rise of the Valkyrie
722,119432,Snowdonia
723,217085,Unearth
724,137297,Rise of Augustus
725,357563,Akropolis
726,253284,Ticket to Ride: New York
727,244331,Blue Lagoon
728,367220,Sea Salt & Paper
729,391163,Forest Shuffle
730,177524,ICECOOL
731,239464,Palm Island
732,150312,Welcome to the Dungeon
733,245643,Luxor
734,12002,Jambo
735,43528,World Without End
736,55670,Macao
737,238992,Call to Adventure
738,43443,Castle Panic
739,15364,Vegas Showdown
740,58421,Egizia
741,97903,Terror in Meeple City
742,370591,Dorfromantik: The Board Game
743,65781,London
744,350933,The Guild of Merchant Explorers
745,7805,Fearsome Floors
746,199,Manhattan
747,1353,Time's Up!
748,122522,Smash Up
749,136991,Loony Quest
750,16986,Ubongo
751,823,The Lord of the Rings
752,151347,Millennium Blades
753,42052,Vinhos
754,174660,New York 1901
755,16395,Blokus Duo
756,103886,Star Wars: The Card Game
757,83195,Ghost Blitz
758,624,Quoridor
759,2842,TransAmerica
760,904,Nightmare Productions
761,54137,Battle Sheep
762,148951,Tiny Epic Kingdoms
763,25821,The Werewolves of Miller's Hollow
764,13823,Fairy Tale
765,811,Rummikub
766,63268,Spot it!
767,156546,Monikers
768,170771,Sword & Sorcery
769,155695,Age of War
770,15818,Pickomino
771,276894,Ticket to Ride: London
772,240196,Betrayal Legacy
773,294484,Unmatched: Cobble & Fog
774,163166,One Night Ultimate Werewolf: Daybreak
775,915,Mystery of the Abbey
776,712,Blood Bowl (Third Edition)
777,328479,Living Forest
778,85256,Timeline: Inventions
779,154809,Nippon
780,17329,Animal Upon Animal
781,143986,CV
782,41916,The Magic Labyrinth
783,198454,When I Dream
784,1,Die Macher
785,205597,Jump Drive
786,230244,Black Angel
787,304420,Bonfire
788,121297,Fleet
789,71836,Onirim
790,232918,Fallout
791,276498,Paris: La Cité de la Lumière
792,181810,Kodama: The Tree Spirits
793,346965,Azul: Queen's Garden
794,275467,Letter Jam
795,327,Loopin' Louie
796,1382,Winner's Circle
797,91872,Dungeons & Dragons: The Legend of Drizzt Board Game
798,153065,Linko
799,119,Kingdoms
800,8098,Jungle Speed
801,157526,Viceroy
802,10,Elfenland
803,1219,Labyrinth
804,176229,Tides of Time
805,213460,Unlock!: Escape Adventures
806,219215,Werewords
807,19237,Ca$h 'n Gun$
808,826,Cartagena
809,483,Diplomacy
810,1198,SET
811,54625,Space Hulk (Third Edition)
812,323612,Bitoku
813,22141,Cleopatra and the Society of Architects
814,304051,Creature Comforts
815,2987,Pirate's Cove
816,71,Civilization
817,59946,Dungeons & Dragons: Castle Ravenloft Board Game
818,47185,Warhammer: Invasion
819,526,Abalone
820,27225,Bananagrams
821,66505,The Speicherstadt
822,179572,Dice City
823,22345,Yspahan
824,155969,Harbour
825,105,Colossal Arena
826,158900,Samurai Spirit
827,124172,Tsuro of the Seas
828,152162,Diamonds
829,21523,Runebound: Second Edition
830,111341,The Great Zimbabwe
831,134352,Two Rooms and a Boom
832,256730,Pipeline
833,334065,Verdant
834,44163,Power Grid: Factory Manager
835,113401,Timeline: Events
836,206931,Encore!
837,244536,Tiny Epic Zombies
838,329465,Red Rising
839,278,Catan Card Game
840,475,Taj Mahal
841,66356,Dungeons & Dragons: Wrath of Ashardalon Board Game
842,70512,Luna
843,131835,Boss Monster: The Dungeon Building Card Game
844,351040,Ready Set Bet
845,154246,La Isla
846,252929,Planet
847,24310,The Red Dragon Inn
848,244995,Illusion
849,5716,Balloon Cup
850,13308,Niagara
851,291572,Oath
852,34585,Keltis
853,140,Pit
854,770,Loot
855,40398,Monopoly Deal Card Game
856,320,Scrabble
857,299169,Spicy
858,27627,Talisman: Revised 4th Edition
859,12692,Gloom
860,1917,Stratego
861,8051,Attika
862,8125,Santiago
863,318184,Imperium: Classics
864,221,Ikusa
865,297030,Tekhenu: Obelisk of the Sun
866,379078,Expeditions
867,134253,Hostage Negotiator
868,129948,The Palaces of Carrara
869,39351,Automobile
870,297978,Mariposas
871,266083,L.L.A.M.A.
872,175324,Fog of Love
873,251412,On Tour
874,494,Ave Caesar
875,134726,Smash Up: Awesome Level 9000
876,1234,Once Upon a Time: The Storytelling Card Game
877,33154,Wasabi!
878,353545,Next Station: London
879,331106,The Witcher: Old World
880,36946,Red November
881,28259,Cutthroat Caverns
882,2389,Othello
883,67877,Anomia
884,345584,Mindbug: First Contact
885,62871,Zombie Dice
886,233020,Fireball Island: The Curse of Vul-Kar
887,43868,The Adventurers: The Temple of Chac
888,26990,Container
889,1897,The Starfarers of Catan
890,194626,Happy Salmon
891,172933,Dragonwood
892,361,Hare & Tortoise
893,351913,Tiletum
894,1403,Turn the Tide
895,559,Metro
896,1829,Risk 2210 A.D.
897,257,Kill Doctor Lucky
898,33604,Say Anything
899,2375,Sequence
900,98,Axis & Allies
901,2165,Pokémon Trading Card Game
902,385761,Faraway
903,233961,Claim
904,49,Mamma Mia!
905,421,1830: Railways & Robber Barons
906,1345,Genoa
907,39953,A Game of Thrones: The Card Game
908,27364,Caylus Magna Carta
909,112686,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre
910,1111,Taboo
911,17223,World of Warcraft: The Boardgame
912,17053,Sleeping Queens
913,227072,The Chameleon
914,302260,Abandon All Artichokes
915,10640,Doom: The Boardgame
916,2448,Kalah
917,32125,Felicity: The Cat in the Sack
918,105593,Cheating Moth
919,299252,Here to Slay
920,191925,Bandido
921,268620,Similo
922,554,La Città
923,1293,Boggle
924,2381,Scattergories
925,343905,Boonlake
926,30539,Get Bit!
927,197070,Massive Darkness
928,226522,Exit: The Game – Dead Man on the Orient Express
929,12995,Dungeon Twister
930,163,Balderdash
931,10093,Axis & Allies
932,138788,Dungeon Roll
933,50381,Cards Against Humanity
934,4636,Clans
935,148575,Marvel Dice Masters: Avengers vs. X-Men
936,9440,Maharaja: The Game of Palace Building in India
937,13642,Louis XIV
938,714,Talisman
939,193621,Joking Hazard
940,62227,"Labyrinth: The War on Terror, 2001 – ?"
941,172225,Exploding Kittens
942,203417,Exit: The Game – The Secret Lab
943,8989,Hansa
944,242,Junta
945,28,Illuminati
946,9446,Blue Moon
947,120,Hoity Toity
948,1927,Munchkin
949,180020,Virus!
950,203416,Exit: The Game – The Pharaoh's Tomb
951,925,Werewolf
952,12962,Reef Encounter
953,234,Hannibal: Rome vs. Carthage
954,102104,Star Fluxx
955,253664,Taco Cat Goat Cheese Pizza
956,815,Chrononauts
957,2452,Jenga
958,21050,Combat Commander: Europe
959,172242,Exploding Kittens: NSFW Deck
960,2281,Pictionary
961,2593,Pass the Pigs
962,2392,Mastermind
963,74,Apples to Apples
964,2243,Yahtzee
965,25071,Munchkin Cthulhu
966,91,Paths of Glory
967,1294,Clue
968,359970,Challengers!
969,175621,Epic Card Game
970,590,Mille Bornes
971,4095,Star Munchkin
972,258,Fluxx
973,2394,Dominoes
974,36345,Monty Python Fluxx
975,4324,Risk: The Lord of the Rings
976,234190,Unstable Unicorns
977,29387,Zombie Fluxx
978,1269,Skip-Bo
979,181,Risk
980,27710,Catan Dice Game
981,2223,UNO
982,18803,Black Stories
983,891,Cranium
984,2471,Zombies!!!
985,2386,Chinese Checkers
986,1258,Phase 10
987,2083,Checkers
988,2952,Trivial Pursuit: Genus Edition
989,3699,Killer Bunnies and the Quest for the Magic Carrot
