rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
261,205637,Arkham Horror: The Card Game,2016,27,8.130,6.914,-1.216,6.842,-234
262,367220,Sea Salt & Paper,2022,492,7.465,7.307,-0.158,6.840,230
263,4098,Age of Steam,2002,122,7.840,7.112,-0.728,6.834,-141
264,2381,Scattergories,1988,2611,6.271,7.125,0.855,6.833,2347
265,306735,Under Falling Skies,2020,217,7.684,7.115,-0.569,6.829,-48
266,119890,Agricola: All Creatures Big and Small,2012,383,7.340,7.052,-0.288,6.828,117
267,120677,Terra Mystica,2012,29,8.061,6.891,-1.169,6.828,-238
268,25021,Sekigahara: The Unification of Japan,2011,200,8.007,7.340,-0.667,6.828,-68
269,16992,Tsuro,2005,1111,6.664,6.939,0.274,6.828,842
270,122515,Keyflower,2012,109,7.725,6.959,-0.766,6.828,-161
271,126163,Tzolk'in: The Mayan Calendar,2012,61,7.858,6.905,-0.954,6.827,-210
272,287954,Azul: Summer Pavilion,2019,199,7.628,7.022,-0.607,6.827,-73
273,366161,Wingspan Asia,2022,106,8.305,7.316,-0.990,6.825,-167
274,341169,Great Western Trail: Second Edition,2021,25,8.335,7.056,-1.279,6.823,-249
275,245655,The King's Dilemma,2019,318,7.784,7.359,-0.425,6.823,43
276,91312,Discworld: Ankh-Morpork,2011,593,7.248,7.114,-0.134,6.823,317
277,1382,Winner's Circle,2001,1040,6.984,7.371,0.387,6.823,763
278,171623,The Voyages of Marco Polo,2015,92,7.782,6.944,-0.837,6.822,-186
279,2842,TransAmerica,2001,1350,6.680,7.195,0.514,6.821,1071
280,193042,Junk Art,2016,515,7.371,7.228,-0.143,6.819,235
281,98778,Hanabi,2010,507,7.046,6.883,-0.163,6.818,226
282,1198,SET,1988,1670,6.496,7.059,0.563,6.817,1388
283,180974,Potion Explosion,2015,532,7.129,6.973,-0.155,6.814,249
284,176189,Zombicide: Black Plague,2015,244,7.618,7.003,-0.614,6.814,-40
285,43570,Friday,2011,511,7.116,6.959,-0.156,6.813,226
286,251661,Oathsworn: Into the Deepwood,2022,65,8.963,7.425,-1.538,6.812,-221
287,73439,Troyes,2010,108,7.716,6.941,-0.775,6.812,-179
288,103885,Star Wars: X-Wing Miniatures Game,2012,175,7.634,6.932,-0.702,6.812,-113
289,14105,Commands & Colors: Ancients,2006,205,7.775,7.156,-0.619,6.811,-84
290,35677,Le Havre,2008,69,7.848,6.905,-0.943,6.810,-221
291,21348,Ticket to Ride: Märklin,2006,415,7.411,7.139,-0.272,6.810,124
292,295486,My City,2020,229,7.657,7.103,-0.554,6.810,-63
293,161614,Stockpile,2015,451,7.457,7.237,-0.220,6.809,158
294,221965,The Fox in the Forest,2017,565,7.112,7.007,-0.105,6.808,271
295,24480,The Pillars of the Earth,2006,398,7.264,6.978,-0.286,6.808,103
296,171131,Captain Sonar,2016,207,7.524,6.951,-0.573,6.807,-89
297,233371,Clank! In! Space!: A Deck-Building Adventure,2017,125,7.792,7.022,-0.770,6.807,-172
298,218333,Rhino Hero: Super Battle,2017,803,7.243,7.382,0.138,6.805,505
