rank_debiased,bgg_id,name,year,rank,avg_rating,avg_rating_debiased,avg_rating_change,avg_rating_bayes_debiased,rank_change
11365,245704,Anchors Aweigh!,2018,9247,6.457,6.231,-0.226,5.553,-2118
11366,237384,FREAKFACE!!!,2017,11126,8.125,7.926,-0.199,5.553,-240
11367,180644,3 Kings,2015,11763,6.752,6.608,-0.144,5.553,396
11368,31547,Kleine Helden,2007,12348,6.133,6.206,0.073,5.553,980
11369,198701,Justice League: Hero Dice – Green Lantern,2016,9693,6.455,6.283,-0.172,5.553,-1676
11370,62,Curse of the Mummy's Tomb,1988,24210,5.316,5.903,0.588,5.553,12840
11371,198700,Justice League: Hero Dice – Flash,2016,9769,6.490,6.319,-0.172,5.553,-1602
11372,380105,Get on Board: Paris & Roma,2023,8679,6.666,6.305,-0.361,5.553,-2693
11373,266940,Widget Ridge,2019,11858,7.077,6.824,-0.253,5.553,485
11374,142687,oddball Äeronauts,2014,9598,5.857,5.740,-0.117,5.553,-1776
11375,376469,Battles of Napoleon: Volume I – EYLAU 1807,2024,12366,8.143,7.754,-0.388,5.553,991
11376,281206,Agatha Christie: Death on the Cards,2019,9489,6.259,6.006,-0.253,5.553,-1887
11377,8705,Bloody Keren,1986,14634,6.491,7.133,0.642,5.553,3257
11378,2599,Valkenburg Castle,1980,18328,5.956,6.761,0.805,5.553,6950
11379,3914,Splat!,1990,20726,5.682,6.215,0.534,5.553,9347
11380,85633,World War II: Barbarossa 1941,2010,12788,6.872,6.864,-0.009,5.553,1408
11381,8334,Trail of the Fox,1984,14058,6.642,7.338,0.696,5.553,2677
11382,101118,"Borodino: Napoleon in Russia, 1812",2012,11529,7.174,7.111,-0.063,5.553,147
11383,297666,Jurassic Brunch,2020,9762,6.637,6.357,-0.280,5.553,-1621
11384,236216,Soul of the Empire,2018,10583,7.419,7.194,-0.226,5.553,-801
11385,270677,Knaster,2019,9700,6.355,6.102,-0.253,5.553,-1685
11386,29376,"The Battle of Adobe Walls, November 25, 1864",2009,11865,7.398,7.417,0.018,5.553,479
11387,314125,Factory 42,2021,9266,6.720,6.413,-0.307,5.553,-2121
11388,331028,Stonewall Uprising,2022,11133,8.208,7.873,-0.334,5.553,-255
11389,224319,Flanx,2017,9659,6.284,6.085,-0.199,5.553,-1730
11390,1414,Decathlon,1972,21940,5.429,6.450,1.022,5.553,10550
11391,10878,Visual Game,1991,15128,5.950,6.457,0.506,5.553,3737
11392,382419,Spot it! Disney 100 Years of Wonder,2023,11138,7.181,6.820,-0.361,5.553,-254
11393,336373,La Isla Perdida,2021,11432,6.967,6.660,-0.307,5.553,39
11394,3617,Operation Pegasus,1980,15850,6.479,7.284,0.805,5.553,4456
11395,374039,Tiny Epic Crimes,2023,9897,7.095,6.734,-0.361,5.553,-1498
11396,35457,Burnside Takes Command,2003,11846,8.443,8.624,0.181,5.553,450
11397,23258,Expedition Altiplano,2006,12083,6.076,6.176,0.100,5.553,686
11398,339599,Magnolia,2021,10245,7.239,6.932,-0.307,5.553,-1153
11399,221661,Patriots & Redcoats,2018,11358,6.655,6.430,-0.226,5.553,-41
11400,348325,Caral,2022,9321,6.763,6.429,-0.334,5.553,-2079
11401,15275,Prelude to Disaster: The Soviet Spring Offensive,1992,13128,6.991,7.470,0.479,5.553,1727
11402,2725,Star Wars: Escape From The Death Star,1990,17019,5.753,6.287,0.534,5.553,5617
11403,8322,"Chad: The Toyota Wars, 1979-1988",1991,14787,6.161,6.667,0.506,5.553,3384
11404,9041,Dark Eden,1997,14427,6.801,7.145,0.344,5.553,3023
11405,160814,Cartoon Network Fluxx,2014,10943,5.905,5.787,-0.117,5.553,-462
11406,369483,Clue: Treachery at Tudor Mansion,2022,9619,6.358,6.024,-0.334,5.553,-1787
11407,158742,Yardmaster Express,2014,8273,5.768,5.651,-0.117,5.553,-3134
11408,369104,Age of Inventors,2023,14525,7.991,7.630,-0.361,5.553,3117
11409,979,The Powerpuff Girls: Saving the World Before Bedtime,2000,14967,5.871,6.133,0.262,5.553,3558
11410,178515,Little Circuses,2016,9934,6.379,6.208,-0.172,5.553,-1476
11411,21293,Celtica,2006,14382,5.608,5.707,0.100,5.553,2971
11412,148639,Founders of the Empire,2013,10154,6.305,6.215,-0.090,5.553,-1258
11413,14881,Rebel Sabers: Civil War Cavalry Battles,1986,14311,7.098,7.740,0.642,5.553,2898
11414,102107,Race to Adventure: The Spirit of the Century Exploration Game,2013,10139,6.051,5.961,-0.090,5.553,-1275
11415,287411,The Shivers,2022,10302,7.064,6.730,-0.334,5.553,-1113
11416,171234,Skulldug!,2015,10733,6.457,6.313,-0.144,5.553,-683
11417,150831,Cuba: The Splendid Little War,2013,10938,7.135,7.045,-0.090,5.553,-479
11418,318996,Welcome to Sysifus Corp,2021,15561,7.802,7.494,-0.307,5.553,4143
11419,377028,Cangaceiros,2023,10208,7.406,7.044,-0.361,5.553,-1211
11420,30505,Apples to Apples: British Isles Edition,2007,11560,6.534,6.607,0.073,5.553,140
11421,6768,Battlestar Galactica,1984,15175,6.895,7.591,0.696,5.553,3754
11422,3035,The Last Days of the Grande Armee: The Four Days of Waterloo,1998,12787,6.537,6.854,0.317,5.552,1365
11423,12478,Battlegame Book 4: World War II,1975,14624,7.058,7.998,0.940,5.552,3201
11424,22644,La Guerra Civil Española (1936),1981,18885,6.010,6.788,0.778,5.552,7461
11425,222424,Planecrafters,2019,10498,6.731,6.479,-0.253,5.552,-927
11426,486,Barnyard Buddies,1996,16561,5.695,6.066,0.371,5.552,5135
11427,3294,Dumm gelaufen!,1998,19302,5.578,5.895,0.317,5.552,7875
11428,23818,1847: Pfalz,1990,12392,7.090,7.623,0.534,5.552,964
11429,3973,Footmania,1993,13479,6.667,7.119,0.452,5.552,2050
11430,161966,Armymals,2014,10301,6.512,6.395,-0.117,5.552,-1129
11431,240835,Bug,2017,9491,6.618,6.419,-0.199,5.552,-1940
11432,50764,Black Cross / Blue Sky,2010,11577,7.212,7.203,-0.009,5.552,145
11433,39278,Medina de Rioseco 1808,2008,12035,7.856,7.901,0.045,5.552,602
11434,239877,Wakening Lair,2018,10076,6.831,6.605,-0.226,5.552,-1358
11435,525,Pisa,1999,12748,6.256,6.545,0.289,5.552,1313
11436,124548,The Doom That Came to Atlantic City,2013,11638,5.987,5.897,-0.090,5.552,202
11437,181382,Niña & Pinta,2016,9832,6.596,6.424,-0.172,5.552,-1605
11438,34403,Lost Battles: Reconstructing the Great Clashes of the Ancient World,2007,12348,7.827,7.899,0.073,5.552,910
11439,189160,Top That!,2016,10253,6.135,5.963,-0.172,5.552,-1186
11440,1405,Adventurer: A Game of Man to Man Brawling in the Far Future,1980,14799,6.217,7.022,0.805,5.552,3359
11441,956,Azteca,1998,15474,6.048,6.365,0.317,5.552,4033
11442,122831,Expedite,2012,12718,7.158,7.095,-0.063,5.552,1276
11443,11629,Guillotine,1983,15709,6.704,7.427,0.723,5.552,4266
11444,9143,War in Europe (Second Edition),1999,13815,7.364,7.653,0.289,5.552,2371
11445,6017,Blitzkrieg '41,1989,14508,6.595,7.155,0.561,5.552,3063
11446,185,Devil Bunny Needs a Ham,1998,24420,5.407,5.723,0.317,5.552,12974
11447,127721,Airborne In Your Pocket,2019,10431,6.701,6.448,-0.253,5.552,-1016
11448,133671,A Fool's Fortune,2012,10292,6.097,6.034,-0.063,5.552,-1156
11449,256801,Fast Forward: FORTUNE,2018,8058,6.069,5.844,-0.226,5.552,-3391
11450,140594,Word Whimsy,2013,11480,6.910,6.820,-0.090,5.552,30
11451,8461,First Team: Vietnam,1986,14617,6.450,7.092,0.642,5.552,3166
11452,183626,Internal Affairs,2015,10661,6.457,6.312,-0.144,5.552,-791
11453,7253,A Raging Storm,1997,12798,6.808,7.152,0.344,5.552,1345
11454,364579,Joomo,2022,9964,6.924,6.590,-0.334,5.552,-1490
11455,331228,Wicked & Wise,2022,9628,6.915,6.581,-0.334,5.552,-1827
11456,147790,Buccaneer Bones,2013,9187,5.828,5.738,-0.090,5.552,-2269
11457,350185,Draft & Write Records,2023,10277,7.576,7.215,-0.361,5.552,-1180
11458,261838,Borders of Kanta,2019,16149,7.644,7.391,-0.253,5.552,4691
11459,129904,Shadows over Camelot: The Card Game,2012,9447,5.713,5.650,-0.063,5.552,-2012
11460,4176,Armies of Arcana,1997,17379,7.789,8.133,0.344,5.552,5919
11461,3602,Kriegspiel,1970,26308,4.867,5.943,1.076,5.552,14847
11462,171708,Holdfast: Korea 1950-51,2015,10341,6.789,6.645,-0.144,5.552,-1121
11463,16323,Panzer Korps,1982,13727,7.227,7.977,0.750,5.552,2264
11464,3658,Cube Farm,2002,13976,5.835,6.043,0.208,5.552,2512
11465,65582,Regatta,2010,11195,6.033,6.024,-0.009,5.552,-270
11466,170195,Oh My Gods!,2016,11682,7.319,7.147,-0.172,5.552,216
11467,18724,Forged in Fire: The 1862 Peninsula Campaign,2006,11310,6.913,7.013,0.100,5.552,-157
11468,266538,Aftershock: San Francisco & Venice,2019,9404,6.522,6.269,-0.253,5.552,-2064
11469,131616,Nautilus,2012,10201,6.076,6.013,-0.063,5.552,-1268
11470,3305,Anticipation,1987,17854,5.719,6.334,0.615,5.552,6384
11471,343483,ThreeTale,2022,12103,8.050,7.716,-0.334,5.552,632
11472,138728,Domus Domini,2015,10662,6.544,6.399,-0.144,5.552,-810
11473,12319,Quandary,1970,16199,6.340,7.416,1.076,5.552,4726
11474,371932,Explorers of Navoria,2022,11084,7.809,7.475,-0.334,5.552,-390
11475,154633,Clue,2013,13573,5.827,5.737,-0.090,5.552,2098
11476,42727,Iconica,2008,14333,7.059,7.104,0.045,5.552,2857
11477,260727,Zurmat: Small Scale Counterinsurgency,2022,11289,8.011,7.676,-0.334,5.552,-188
11478,318392,Star Trek: Voyager Fluxx,2020,10164,7.365,7.085,-0.280,5.552,-1314
11479,309545,Lucky Little Luxembourg,2020,11984,8.714,8.434,-0.280,5.552,505
11480,148745,We Were Brothers,2015,12995,7.530,7.386,-0.144,5.552,1515
11481,16972,"Alexandria, 1801",1996,13273,7.382,7.753,0.371,5.552,1792
11482,218314,3 Secrets,2017,8562,6.047,5.849,-0.199,5.552,-2920
11483,329962,Cantaloop: Book 2 – A Hack of a Plan,2021,8458,6.353,6.046,-0.307,5.552,-3025
11484,161813,Hangtown,2015,11662,7.227,7.083,-0.144,5.552,178
11485,234510,The Deception of Antiques: 12 Chinese Zodiac Bronze Heads,2017,11477,7.733,7.534,-0.199,5.552,-8
11486,251213,The Coin Tribes' Revolt: Boudica's Rebellion Against Rome,2018,9790,7.152,6.926,-0.226,5.552,-1696
11487,18127,Castle Merchants,2005,12937,5.759,5.886,0.127,5.552,1450
11488,387515,Kavango,2023,16304,9.178,8.817,-0.361,5.552,4816
11489,170437,The Curse of the Black Dice,2015,10054,6.166,6.022,-0.144,5.552,-1435
11490,19161,ElfBall,2007,12890,7.255,7.328,0.073,5.552,1400
11491,11127,"Kursk: Operation Zitadelle, 4 July 1943",1971,18580,6.134,7.183,1.049,5.552,7089
11492,320881,Aurelian: Restorer of the World,2020,9918,7.633,7.353,-0.280,5.552,-1574
11493,350108,Abuela Co.,2021,11969,8.093,7.785,-0.307,5.552,476
11494,333481,GigaWatt,2022,11021,7.183,6.848,-0.334,5.552,-473
11495,248737,Pacific Rim: Extinction,2018,11807,7.304,7.078,-0.226,5.552,312
11496,12263,Spycraft: Collectible Card Game,2004,12812,6.099,6.252,0.154,5.552,1316
11497,162383,"Festung Europa: The Campaign for Western Europe, 1943-1945",2016,10773,6.893,6.722,-0.172,5.552,-724
11498,355801,Mediterráneo,2022,12911,7.712,7.377,-0.334,5.552,1413
11499,231812,"Warhammer 40,000: Heroes of Black Reach – Drop Zone Demo Kit",2017,12281,7.981,7.783,-0.199,5.552,782
11500,320502,Dragon Dice (Fourth Edition),2018,13547,8.236,8.010,-0.226,5.552,2047
11501,238136,Elementum,2018,11902,6.596,6.371,-0.226,5.552,401
11502,385770,Knee Deep in Hexes,2024,15054,8.738,8.350,-0.388,5.552,3552
11503,6383,Life Style,1989,22366,5.535,6.096,0.561,5.552,10863
11504,180211,Apollo XIII,2015,10574,6.310,6.166,-0.144,5.552,-930
11505,181956,Römisch Pokern,2015,9929,6.164,6.020,-0.144,5.552,-1576
11506,20829,Keesdrow,2005,12341,6.364,6.491,0.127,5.552,835
11507,8363,Turning Point: The Battle of Stalingrad,1972,16926,6.380,7.402,1.022,5.552,5419
11508,337513,Warfighter: The WWII North African Combat Card Game,2023,12261,8.470,8.109,-0.361,5.552,753
11509,290636,Sanctorvm: The Board Game,2021,16512,9.021,8.714,-0.307,5.552,5003
11510,209849,King Frog,2016,10133,6.733,6.561,-0.172,5.552,-1377
11511,159405,The Shadow Over Westminster,2015,9973,6.599,6.455,-0.144,5.552,-1538
11512,244948,Brains Family: Burgen & Drachen,2018,8920,6.290,6.065,-0.226,5.552,-2592
11513,14553,Times,1992,13417,6.537,7.016,0.479,5.552,1904
11514,297673,Pocket Paragons,2020,11375,7.244,6.964,-0.280,5.552,-139
11515,395906,Exploding Kittens: Good Vs Evil,2023,10512,6.930,6.568,-0.361,5.552,-1003
11516,292971,Ettin,2020,10988,6.974,6.694,-0.280,5.552,-528
11517,708,Holy War: Afghanistan,1991,14289,6.245,6.751,0.506,5.552,2772
