,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
20,21,811,10827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,,,,,,,22,28,,,,,,,1253,23,,,,,,,,,3496,38,,,1376,12,,,,,,,67,26,,,1115,15,,,,,,,,,,,,,,,,,259,6,,,,,,,,,,,86,23,,,,,,,,,,,,,,,73,80,159,37,,,,,,,,,,,632,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926,5,,,34,25,,,,,,,,,,,,,474,18,,,,,362,8,,,79,7,383,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,2136,10575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,6,,,,,,,,,,,,,,,,,,,,,,,297,7,,,,,,,3589,7,,,,,,,,,2796,46,10,10,160,49,,,,,255,3,,,,,314,49,,,,,,,,,,,,,,,,,,,,,,,172,6,,,,,186,12,,,,,,,,,,,,,,,294,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,650,9,,,,,,,,,,,,,,,,,901,7,,,,,,,,,,,91,68,,,,,,,,,,,,,,,,,105,4,,,,,,,,,5,3,,,338,6,,,,,,,,,,,,,,,,,181,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,95
22,23,27443,9892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,21,,,,,,,91,17,,,11,4,36,21,698,40,,,,,,,,,976,98,8,21,645,19,38,6,,,,,79,22,,,485,33,,,,,,,,,,,,,,,,,,,,,,,47,12,,,,,,,,,,,,,,,,,,,,,360,26,,,,,,,,,,,,,1820,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,19,,,,,,,,,,,,,,,,,1167,6,,,,,191,18,,,,,792,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145,4
23,24,5432,9412,,,,,,,,,,,128,8,,,9,2,,,,,,,,,,,,,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,71,,,,,,,,,6220,17,,,1218,14,,,,,103,7,13,75,,,191,64,,,,,,,,,,,,,14,3,,,115,11,67,3,,,,,,,,,,,,,,,265,6,,,,,,,,,88,73,93,52,,,,,,,,,,,10,51,,,,,,,,,,,,,,,,,36,7,,,,,,,6,7,,,21,3,,,,,,,,,,,,,,,103,45,12,7,45,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,2,12,3,,,244,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,48
24,25,6819,9024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,15,5765,2,,,,,,,,,1709,64,2,43,,,,,,,,,47,33,,,316,47,,,,,,,,,,,,,,,,,42,27,,,,,,,,,,,,,,,,,,,,,,,3,6,,,103,65,,,,,,,,,,,,,21,33,,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,83,50,,,11,37,,,,,,,,,,,,,406,20,,,,,40,39,,,,,165,54,,,,,,,,,,,,,,,,,15,18,,,,,,,,,,,,,60,31,,,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,28
25,26,3886,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,4,,,,,,,,,,,,,,,13,26,,,,,,,,,,,,,104,9,3507,8,,,,,,,,,24,849,10,13,231,38,12,13,,,11,14,122,16,,,418,39,,,3,4,,,,,,,,,,,,,20,37,,,,,,,,,,,773,2,,,,,,,,,,,,,,,648,15,104,48,,,,,,,,,,,27,29,,,,,,,,,19,2,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,44,7,11,104,8,,,,,,,,,,,,,289,25,,,,,353,9,,,488,2,389,36,,,,,,,,,,,,,,,,,66,8,4,16,,,,,,,,,,,77,26,,,,,,,,,,,,,,,,,114,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,38
26,27,39856,8391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,7,,,,,,,,,,,,,,,16,22,,,,,,,75,18,,,,,16,38,678,43,,,,,,,,,3057,42,,,,,,,,,,,,,,,951,18,,,,,,,,,,,,,,,,,57,22,,,,,,,,,,,144,16,,,,,,,,,,,,,,,727,13,,,,,,,,,,,,,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,54,,,,,,,,,,,,,587,13,,,,,,,,,,,1542,15,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,21
27,28,2392,8204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,13,,,,,,,107,15,,,,,,,959,28,,,,,,,,,4463,26,,,288,31,,,24,2,106,6,,,,,864,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,,,,,,,,,,,,,,,304,29,279,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,26,,,50,19,,,,,,,,,,,,,256,26,,,,,88,30,,,,,,,,,,,,,,,,,,,,,,,12,22,,,,,,,10,11,,,,,118,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,57
28,29,2719,8157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,82,,,,,,,,,,,,,21,30,603,44,,,,,,,,,5553,22,9,18,257,35,,,,,,,34,37,,,811,22,,,,,,,,,,,,,,,,,73,18,,,,,,,,,,,18,36,,,,,,,,,,,,,,,221,41,,,,,,,,,,,,,12,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,52,,,,,,,,,,,,,,,,,42,59,,,,,,,,,,,296,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,37
29,30,5894,7432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,30,,,,,,,,,,,,,,,680,42,,,,,,,,,2975,44,,,352,28,,,,,,,32,38,,,348,43,,,,,,,,,,,,,,,,,75,16,,,,,,,,,,,,,,,,,,,,,,,,,,,291,32,689,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,46,,,,,,,,,,,,,,,,,,,,,,,173,22,,,,,1585,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,21,,,,,50,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31,2952,7377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,,,,,,,,,,,,,82,12,958,29,,,,,,,,,3499,37,10,12,636,20,,,10,7,,,145,11,,,690,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,,,,,,,,,495,23,28,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,21,,,60,14,,,,,,,,,,,,,,,,,,,89,29,,,,,202,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,30549,7032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,30,,,,,8,59,459,52,,,,,,,,,5165,23,,,,,,,,,,,,,,,273,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,58,354,23,,,,,,,,,,,11,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,32,,,27,29,,,,,,,,,,,,,,,,,,,,,,,,,367,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33,2398,6952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,76,,,,,,,,,5763,21,10,11,,,,,,,,,9,93,,,519,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,42,,,,,,,,,,,,,,,,,38,63,,,,,,,,,,,162,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,53,,,,,,,,,,,,,,,,,71,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,2921,6874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,45,,,,,,,,,,,,,,,507,48,,,,,,,,,4385,28,,,,,,,,,,,,,,,253,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1279,11,,,,,,,,,,,90,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,25,,,,,,,,,,,,,,,,,,,,,,,161,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,1111,6712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23,,,,,,,,,,,,,,,880,32,,,,,84,7,,,4050,33,,,540,23,,,,,,,,,,,333,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,2386,6171,,,,,,,,,,,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,44,,,,,,,26,26,,,,,,,,,,,,,,,,,2707,47,2,42,1880,9,,,,,,,65,27,,,389,40,,,,,,,,,,,,,,,,,43,26,,,,,,,,,,,25,32,,,,,,,,,,,,,,,271,33,,,,,,,,,,,,,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,55,16,,,,,,,,,,,,,81,43,,,,,54,35,,,,,6,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,20,,,,,,,,,,,14,13,,,,,,,,,,,6,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,17
36,37,41114,6149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6085,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38,19967,6122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6117,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,204
38,39,2785,5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,2,,,,,,,,,,,,,22,26,307,65,,,,,,,,,573,135,8,20,2386,5,,,12,5,,,1,147,,,1165,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,17,60,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,8,,,,,,,,,,,,,,,8,1,35,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,19,86
39,40,1258,5976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,24,,,,,,,1410,19,,,,,,,,,4493,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,41,36218,5927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,32,,,,,,,47,22,,,,,8,60,962,27,,,,,,,,,3545,36,,,,,,,,,,,29,41,,,178,67,,,,,,,,,,,,,,,,,10,43,,,,,,,,,,,,,,,,,,,,,,,,,,,98,67,640,17,,,,,,,,,,,22,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,35,,,24,30,,,,,,,,,,,,,60,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,29
41,42,483,5774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,42,,,,,,,,,,,,,14,41,274,68,,,,,,,,,4069,32,,,,,,,,,,,30,40,,,315,48,,,,,,,,,,,,,,,,,18,39,,,,,,,,,,,,,,,,,,,,,,,5,3,,,181,49,330,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,51,,,17,35,,,,,,,,,,,,,28,74,,,,,56,34,,,,,205,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,49,,,,,,,,,,,,,,,,,67,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,53
42,43,18011,5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,,,,,,,,,12,31,,,,,,,57,20,,,,,,,191,94,,,,,,,,,2147,56,5,30,581,21,9,15,,,,,7,111,,,153,73,,,,,,,,,,,,,,,,,29,32,23,4,,,,,,,,,28,30,,,,,15,16,,,,,,,,,56,92,1059,13,,,,,,,,,,,50,19,,,,,,,,,9,3,,,,,,,,,,,,,,,18,3,,,,,15,8,,,,,,,,,,,,,40,66,7,12,5,46,,,,,,,,,,,,,91,40,,,,,100,27,,,,,677,27,,,,,,,,,,,,,6,6,8,4,13,20,,,,,,,,,,,,,38,41,,,,,7,5,,,,,,,,,,,27,26,,,,,11,24,,,,,,,,,39,9,,,,,,,,,,,,,,,,,,,,
43,44,9209,5474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,53,,,,,,,,,,,,,18,32,507,49,,,,,,,,,3622,34,,,32,93,,,,,,,76,24,,,4,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,33,,,,,,,,,,,,,,,219,43,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,161,29,5,15,55,17,,,,,,,,,,,,,212,27,,,,,,,,,,,389,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,23,,,,,,,,,,,29,10,,,,,,,,,,,,,,,,,,,,,9,11,,,,,,,,,,,,,,,,,,,,
44,45,3955,5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,67,,,,,,,17,37,,,,,,,197,91,,,,,,,,,2272,53,,,330,29,,,,,,,,,,,512,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,19,,,,,,,,,,,,,,,860,8,,,,,,,,,,,,,408,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,11
45,46,2281,5035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,34,,,,,,,,,,,,,,,,,,,,,,,,,3178,40,,,1151,15,,,,,,,,,,,358,41,,,,,,,,,,,,,,,,,44,25,,,,,,,,,,,,,,,,,,,,,,,,,,,247,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,4192,5026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,47,,,,,,,51,21,,,,,41,20,862,33,,,,,,,,,2,960,,,266,34,,,,,,,48,32,,,151,74,,,,,,,,,,,5,5,,,,,14,42,,,,,,,,,,,103,21,,,,,,,,,,,,,,,438,24,353,24,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,33,,,,,,,,,,,,,,,,,151,28,,,,,,,,,,,2280,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,28,,,,,,,,,,,,,,,,,,,,,,,39,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,1917,4958,,,,,,,,,,,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29,,,,,,,22,29,,,,,88,10,312,64,,,,,,,,,2658,49,6,23,318,30,,,,,71,9,22,54,,,294,51,,,,,,,,,,,,,,,,,72,19,,,,,,,,,,,,,,,,,,,,,,,,,,,121,59,,,,,,,,,,,,,19,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623,11,,,29,27,,,,,,,,,,,,,,,,,,,,,,,,,161,56,,,,,,,,,,,,,,,,,21,14,,,,,,,,,,,,,55,33,,,,,,,,,,,,,,,,,,,,,,,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,60
48,49,13713,4595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,40,,,,,,,,,,,,,23,25,936,30,,,,,,,,,1582,68,,,240,37,,,6,12,,,24,49,,,584,27,,,,,,,,,,,,,,,,,20,38,,,,,,,,,,,4,52,,,,,,,,,,,2,7,,,147,55,283,29,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,31,,,,,187,20,,,,,28,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,45,,,,,,,,,,,,,,,,,210,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,25
49,50,17530,4558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,306,,,,,,,,,1074,90,,,,,,,,,,,,,,,62,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,34,,,,,,,,,,,2842,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,19
50,51,28143,4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,261,,,,,,,,,4324,30,,,,,,,,,,,,,,,125,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,2399,4483,,,,,,,,,,,36,11,,,,,,,5,4,,,,,,,,,13,18,,,,,,,,,2,8,,,,,39,5,,,,,,,18,34,,,,,,,214,84,,,,,,,,,2146,57,9,16,384,26,,,,,12,13,13,74,,,243,59,,,,,,,,,,,,,,,,,50,24,,,,,,,,,,,31,27,,,,,,,,,,,,,,,209,44,206,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,60,,,,,,,10,3,,,,,,,,,76,45,,,,,176,21,,,13,12,376,39,,,,,,,,,,,,,,,,,21,15,,,,,,,,,,,,,20,57,,,,,,,,,,,,,,,,,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,35
52,53,11634,4440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4364,29,,,,,,,,,,,,,,,29,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,71
53,54,9364,4421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3837,6,,,,,,,,,497,151,,,,,,,,,,,,,,,49,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55,1269,4354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1281,22,,,,,,,,,2644,50,,,,,,,,,,,259,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,29146,4321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,47,,,,,,,,,928,102,,,,,,,,,,,,,,,126,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,37,,,,,,,,,,,,,,,,,40,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2702,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
