,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
bgg_id,name,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,best_rating,total,rank
56058,Brett J. Gilbert,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,6.89958,2,153
92370,Paul Dennen,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,8.22738,2,154
3612,Thomas Daum,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.58048,2,155
37919,Violetta Leitner,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.58048,2,155
3343,Andrew Lawson,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.52425,2,157
3342,Jack Lawson,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.52425,2,157
9792,Andreas Frei,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.51686,2,159
9794,Lukas Frei,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.51686,2,159
9793,Ueli Frei,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,5.51686,2,159
116503,Kei Kajino (梶野 桂),0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7.46571,1,162
34866,Marcel Süßelbeck,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7.00095,1,163
34864,Marco Ruskowski,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7.00095,1,163
4299,Peter Prinz,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.82779,1,165
124205,Aurélien Picolet,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.67617,1,166
68814,Masao Suganuma,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.4963,1,167
1532,Régis Bonnessée,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.27998,1,168
6741,Amanda Kohout,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.24887,1,169
6740,William Jacobson,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.24887,1,169
48,Wilko Manz,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.00587,1,171
840,Martin Schlegel,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.86294,1,172
3513,Norbert Proena,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5.77216,1,173
52075,Jacob Fryxelius,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8.2159,1,174
127823,Elwen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.89997,1,175
127822,Mín,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.89997,1,175
158,Reiner Stockhausen,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.87377,1,177
109218,Jordy Adan,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.43716,1,178
57305,Andreas Steiger,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.42701,1,179
77564,Adam Rehberg,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.34315,1,180
98336,Ryan Lambert,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.34315,1,180
3440,Bruce Glassco,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.24797,1,182
4735,Ignacy Trzewiczek,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.2323,1,183
108405,Jakub Łapot,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.2323,1,183
99503,Przemysław Rymer,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.2323,1,183
69927,Manuel Rozoy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.20243,1,186
87947,Peggy Chassenet,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.20243,1,186
54146,Louis Malz,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.1853,1,188
54147,Stefan Malz,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.1853,1,188
107037,Hal Duncan,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.18238,1,190
107036,Ruth Veevers,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.18238,1,190
91211,Hjalmar Hach,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.14447,1,192
28238,Lorenzo Silva,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.14447,1,192
30744,Andreas Schmidt,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7.12499,1,194
77702,Koota Yamada,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.98784,1,195
7324,Adam Kałuża,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.74209,1,196
66521,Johannes Zirm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.67988,1,197
80520,Asger Harding Granerud,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.67896,1,198
80521,Daniel Skjold Pedersen,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.67896,1,198
1379,Fréderic Moyersoen,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.63011,1,200
78240,Johann Roussel,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.62805,1,201
78238,Karim Aouidad,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.62805,1,201
6647,Christian Tiggemann,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.62169,1,203
6589,Maja Dorn,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.60395,1,204
545,Ronald Hofstätter,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.55215,1,205
34434,Jürgen Adams,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.55159,1,206
8360,Ariel Laden,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.53361,1,207
106414,Michael Kallauch,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.52903,1,208
