bgg_id,name,year,award,winner,nominated,recommended,sonderpreis,bayes_rating,designer
4107,Hang in There!,2000,kinder,False,False,True,,5.52907,3
4370,Fische Fluppen Frikadellen,2002,spiel,False,False,True,,5.87235,141
4493,Kayanak,1999,kinder,True,True,True,,5.70625,1783
4518,Sauerbaum,1986,spiel,False,False,True,Cooperative Family Game,5.51669,1791
4522,The Ladybug's Costume Party,2002,kinder,True,True,True,,5.67187,1783
4553,Attribute,2002,spiel,False,False,True,,5.79771,59
4586,Bärenspiel,1983,spiel,False,False,True,,5.50078,816
4636,Clans,2002,spiel,False,True,True,,6.25912,138
5096,Sly,1975,spiel,False,False,True,,5.51773,4
5136,Piraten-Abenteuer,1991,kinder,True,True,True,,5.5321,7
5380,Lancelot,1985,spiel,False,False,True,,5.51674,365
5389,Niki Lauda's Formel 1,1980,spiel,False,False,True,,5.54383,7
5404,Amun-Re,2003,spiel,False,False,True,,6.95138,2
5664,3 Or More,1980,spiel,False,False,True,,,5339
5694,Highly Suspect,2002,kinder,False,True,True,,5.5405,500
5707,Cuckoo Zoo,2002,kinder,False,False,True,,5.51388,1210
5709,Touché,1979,spiel,False,False,True,,5.49121,3
5709,Touché,1979,spiel,False,False,True,,5.49121,2114
5716,Balloon Cup,2003,spiel,False,False,True,,6.36801,2118
5749,Simon,1978,spiel,False,False,True,,5.06668,6430
5749,Simon,1978,spiel,False,False,True,,5.06668,11051
5749,Simon,1978,spiel,False,False,True,,5.06668,11050
5781,"Edel, Stein & Reich",2003,spiel,False,False,True,,6.10395,12
5782,Coloretto,2003,spiel,False,False,True,,6.82891,86
5795,Richelieu,2003,spiel,False,False,True,,5.87613,86
5825,Paris Paris,2003,spiel,False,False,True,,5.75493,86
5886,Die Dracheninsel,2003,spiel,False,True,True,,5.49395,316
5953,Karambolage,1995,kinder,True,True,True,,5.55134,256
5986,Ra: Strategy Among Hexagons,1981,spiel,False,False,True,,,839
6249,Alhambra,2003,spiel,True,True,True,,6.91012,60
6383,Life Style,1989,spiel,False,False,True,,5.49944,782
6383,Life Style,1989,spiel,False,False,True,,5.49944,783
6411,Blokus 3D,2003,spiel,False,False,True,,6.34851,2286
6508,Tom Tube,2003,spiel,False,False,True,,5.64311,2327
6508,Tom Tube,2003,spiel,False,False,True,,5.64311,2328
6657,Such a Thing?,1989,spiel,False,False,True,,5.67962,172
6874,Müller & Sohn,1985,spiel,False,False,True,,5.49121,94
7065,Pusher,1993,spiel,False,False,True,,5.52576,425
