game_id,bgg_id,name,num_all_matches,num_connected_matches,num_all_players,num_connected_players,num_regular_players,num_max_matches,two_player_only,elo_k,std_dev,p_deterministic
2333,8203,"Hey, That's My Fish!",6978,3887,5812,2395,37,104,false,61.6,130.3,0.53
1283,72667,Mijnlieff,39722,33351,8180,4420,513,2148,true,41.5,130.2,0.53
1010,2448,Kalah,374923,315052,58546,30857,3959,24742,true,34.1,130.2,0.53
1257,245643,Luxor,404652,388377,43137,28602,3448,16860,false,24.4,129.8,0.53
69,118048,Targi,576693,535530,77615,46077,4793,16657,true,27.7,129.7,0.53
1446,286096,Tapestry,366109,349689,50119,35786,4898,5863,false,31.6,129.4,0.53
2329,1597,Streetcar,3329,2337,1989,966,49,252,false,50.7,129.3,0.53
1474,308500,Clash of Decks,237425,218164,29684,15468,2092,8788,true,28.8,129.3,0.53
1222,300442,Trekking the World,62870,46267,38063,18310,715,1078,false,44.4,129.3,0.53
1956,352454,Trailblazers,34811,27533,15768,7527,399,1172,false,39.9,128.2,0.53
1761,380728,Exit Strategy,16260,7078,17004,3582,105,402,false,47.4,128.0,0.53
2067,403209,Belladone Bluff,2482,1480,2564,1136,10,45,false,55.5,127.8,0.53
1384,128621,Viticulture,360555,326250,101413,72116,7588,3691,false,52.3,127.6,0.53
2206,437478,iye,1750,1046,1760,703,8,78,true,56.6,127.5,0.53
1166,128271,Ginkgopolis,27672,24553,10018,6206,422,1030,false,41.9,127.5,0.53
1930,391255,Open Season,4962,3696,3794,1766,47,207,false,73.1,126.9,0.52
2498,429439,Amoriax,639,464,343,154,3,277,true,60.2,126.6,0.52
2216,350933,The Guild of Merchant Explorers,111923,101020,23267,15630,1969,1409,false,41.2,126.1,0.52
2159,396375,Gems of Iridescia,1223,756,1459,664,6,113,false,35.6,126.1,0.52
1858,271529,Botanik,28389,24165,6936,3821,371,1327,true,41.0,126.0,0.52
1345,31730,Chicago Express,7364,5773,6156,3610,135,244,false,73.5,126.0,0.52
2030,263918,Cartographers,1050241,1008723,89724,63693,12544,5976,false,28.0,125.8,0.52
1557,344425,Hydroracers,2813,1402,3713,1354,18,181,false,42.5,125.8,0.52
1317,280041,Rolled West,8859,6190,5912,2497,98,396,false,43.0,125.7,0.52
2354,2181,Contract Bridge,954,683,710,342,14,139,false,64.1,125.1,0.52
1963,391834,SpellBook,62308,51893,22359,11938,880,1000,false,37.8,125.0,0.52
2403,396706,Massive-Verse: Fighting Card Game,1205,754,787,287,12,182,true,42.9,124.6,0.52
2080,315021,Strawberry Sunset,1175,703,1056,400,10,174,false,66.9,124.5,0.52
1649,365453,Look at the Stars,53107,45277,15701,8110,694,1984,false,40.2,124.4,0.52
1179,256589,Rallyman: GT,350967,323741,86881,49513,6206,6804,false,38.1,124.4,0.52
1659,295486,My City,65959,43250,33353,15416,540,1373,false,40.8,124.1,0.51
2137,361186,Giraffe Raffe,7797,4975,4577,1685,88,819,false,40.9,124.0,0.51
1268,180680,Automobiles,55435,47480,21139,12567,1044,1754,false,50.4,124.0,0.51
2145,402125,Umbrella,29986,26140,11153,7084,456,534,false,42.2,123.9,0.51
1936,400266,Boreal,22923,16295,10261,4687,217,654,true,36.7,123.7,0.51
1756,265118,Legend Raiders,8265,6661,3828,2064,100,321,false,39.4,123.2,0.51
