bgg_id,name,year
1616,Remember the Alamo!,1982
3108,Goblin,1982
5194,Fire When Ready,1982
4360,Attack in the Ardennes: The Battle of the Bulge,1982
16272,Little Round Top,1982
2527,Attack Force,1982
3156,The Warriors of Batak,1982
2996,Dodge City,1983
714,Talisman,1983
568,Rage,1983
4598,Word Rummikub,1983
2730,Quadwrangle,1983
6647,Ökolopoly,1983
3702,Topple,1983
17420,"Rette sich, wer kann!",1983
15267,Des chiffres et des lettres,1983
28905,Dostihy a sázky,1983
2280,Marco Polo,1983
5266,Scorpion,1983
6879,Super Rack-O,1983
589,Wiz-War,1983
3590,Campaign Trail: The Game of Presidential Elections,1983
5571,Siege,1983
4574,Slang Teasers,1983
7762,Transfer,1983
7567,Proteus,1983
9416,Westminster: The Election Game,1983
1306,Krakatoa,1983
2463,Scavenger Hunt,1983
3915,Won Over,1983
3835,Turbo,1983
1608,Ambush!,1983
4093,Exit,1983
3241,Jack The Ripper,1983
11629,Guillotine,1983
1542,Calamity!,1983
2129,Crossbows and Catapults,1983
508,Blue Max,1983
4278,Battle Over Britain,1983
2991,Mandala,1983
7103,Ace of Aces: Flying Machines,1983
19361,Casablanca,1983
3941,Dragonriders of Pern,1983
11862,Gay Monopoly,1983
1187,The Fellowship of the Ring,1983
586,Up Front,1983
2081,The Civil War 1861-1865,1983
1421,Lost Worlds,1983
2077,Hell's Highway: Operation Market Garden,1983
7194,Centipede,1983
2036,Time: The Game,1983
10914,Hannibal: Rome and Carthage in The Second Punic War 219-202 B.C.,1983
2916,File 13,1983
14539,Drakskatten,1983
254,Empires in Arms,1983
1784,Dark Cults,1983
4120,King's Court,1983
27863,Lützen,1983
7331,Rum Rebellion,1983
3376,The Company War,1983
35934,Tile Rummy,1983
8737,Peter the Great,1983
3209,Pennant Race,1983
5084,Berzerk,1983
17591,Mohawk,1983
3067,James Clavell's Shogun Card Game,1983
6770,Yom Kippur,1983
3603,The Normandy Campaign,1983
4254,"Iwo Jima: Valor of Arms, 19 Feb. – 25 March 1945",1983
975,The Keep,1983
14354,2ème D.B. 'I' Normandie,1983
1626,Krull,1983
7388,Trivia Adventure,1983
6710,Luck Plus,1983
671,Bull Run: The First Major Battle of the American Civil War,1983
3045,Pentantastar,1983
1688,Star Commander,1983
4340,Combots,1983
37224,Huída del Imperio Cobra II,1983
6993,Spinner Dominoes,1983
2252,King of the Tabletop,1983
2195,Globbo!,1983
2756,Alien Contact: Extraterrestrial Empires in Conflict,1983
3522,LCR,1983
2076,Gulf Strike,1983
3028,By Jove,1983
11441,The Last Panzer Victory: The Battle of Debrecen,1983
5964,American Civil War 1861-1865,1983
5285,Pro Tennis,1983
2641,"Barbarian, Kingdom & Empire",1983
3523,Decision At Kasserine: Rommel's Last Chance,1983
2368,Battlecars,1983
2690,James Clavell's Shogun,1983
4248,City States of Arklyrell,1983
8246,Race to the Meuse,1983
13837,Kirovograd,1983
5043,The Forever War,1983
3532,Damocles Mission,1983
9356,Pacific Fleet,1983
5828,Aachen,1983
1213,Nuclear Escalation,1983
5057,Never Call Retreat,1983
4379,Bug-Eyed Monsters,1983
3535,Nightmare House,1983
2751,Lawrence of Arabia: The British Offensive – September-October 1918,1983
7250,Q*bert,1983
2079,NATO: The Next War in Europe,1983
1465,Wizard,1984
934,Die Kette von Saba,1984
9063,Brettfußball,1984
1815,Spanish Main,1984
5281,Octiles,1984
1225,Quest,1984
163,Balderdash,1984
2689,British Rails,1984
8983,I.Q. 2000,1984
2401,Globetrotters,1984
11628,Trivial Pursuit: Young Players Edition Master Game,1984
4282,Greed,1984
1748,A Question of Scruples,1984
9685,Bounce It-In Game,1984
97,Conquest of the Empire,1984
2515,Pirate Island,1984
16727,Play on Wordz,1984
3514,Game of Knowledge,1984
5903,Cats' Mansion,1984
680,Dune,1984
1019,Le Gang des Traction-Avant,1984
23695,Robot Face Race,1984
4310,Sting,1984
6232,Market Day,1984
5605,I Think You Think I Think,1984
18840,Wissens-Spektrum,1984
10906,Beggars and Thieves,1984
8448,Bible Challenge,1984
1291,Input,1984
1622,Strata 5,1984
2775,The Battle of Five Armies,1984
5423,Bible Trivia,1984
15490,Geni,1984
2342,Mystery Mansion,1984
16112,Bamses honungs-jakt,1984
16262,Race,1984
25950,Masters of the Universe,1984
5235,Samurai Blades: The Game of Man-to-Man Combat in Feudal Japan,1984
2867,The Baton Races of Yaz,1984
27,Supremacy: The Game of the Superpowers,1984
5038,"Druid: Boudicca's Rebellion, 61 A.D.",1984
15845,Fantomen,1984
8365,Napoleon at Lutzen,1984
7254,The Battle of Shiloh,1984
2736,The Lonely Mountain,1984
7009,Khyber Rifles,1984
8452,Unconditional Surrender,1984
4621,Cloak & Dagger,1984
3692,Firepower,1984
3650,The Twilight War,1984
6245,Quest for the Dungeonmaster,1984
6375,Made for Trade,1984
5735,Dragonriders of Pern: The Book Game,1984
4567,Ripley's Believe It or Not!,1984
7541,Killer Angels,1984
9508,Golden Trivia Game: M*A*S*H Edition,1984
3925,Elefant Hunt,1984
690,Singapore,1984
17146,Rommel at Bay,1984
25223,¿Resiste Stalingrado?,1984
3018,The A-Team,1984
474,Cold War,1984
4802,Holy Roman Empire,1984
8835,Stars and Bars,1984
3724,1809: Napoleon's Danube Campaign,1984
8252,Lods 1914: Blitzkrieg in the East,1984
5620,Vietnam 1965-1975,1984
33288,T.E.G. II,1984
3896,Struggle For The Throne: Star Trek III,1984
6684,Transformers Adventure Game,1984
9569,The Last Starfighter Combat Game,1984
12924,Dark Crusade: The War in the East 1941-45,1984
7963,Clash of Steel,1984
32245,Fortuna,1984
8334,Trail of the Fox,1984
6847,South Mountain,1984
34444,Misterio,1984
8993,Fire in the East,1984
2986,Web and Starship,1984
6009,Soldiers of the Queen: Battles at Isandhlwana and Omdurman,1984
7964,West Wall,1984
3161,Port Stanley: Battle for the Falklands,1984
5511,Southern Front: Race for the Turkish Straits,1984
6814,"8th Army: Operation Crusader – The Winter Battles for Tobruk, 1941",1984
10533,Central Command: Superpower Confrontation in the Straits of Hormuz,1984
6146,S.F.3.D. Original,1984
3605,The Third World War: Battle for Germany,1984
4049,Hammer's Slammers,1984
2072,Panzer Command: The Gateway to Stalingrad,1984
9360,The Royal Navy,1984
8285,"Boots & Saddles, An Assault Series Module",1984
11188,Superstar Pro Wrestling Game,1984
6929,Ranger,1984
2281,Pictionary,1985
772,Ausbrecher AG,1985
2554,Auf Fotosafari in Ombagassa,1985
18794,SuperGang,1985
1070,Shadows in the Forest,1985
1712,Showbiz,1985
488,Stake Your Claim,1985
788,Tales of the Arabian Nights,1985
15066,Cat & Mouse,1985
10527,Gyges,1985
472,DungeonQuest,1985
2767,Snail's Pace Race,1985
3568,Stage II,1985
3788,The American Goldrush 1849,1985
20111,The Golf Game: Par Excellence,1985
17181,Stad - Land - Rivier,1985
4849,The Charade Game,1985
